User,Tag,Rank,Position,KD,Assists,Headshot %,Ability Usage
StolenCry,6303,,Flex,1.9167,4.0,0.0,0.0
Saucy,5061,Iron 2,Duelist,0.7749,4.8,11.754,11.6
我黑色,8641,Silver 1,Flex,0.2,1.0,0.0,21.0
Ekul tr,NA1,Silver 2,Flex,1.0,3.0,18.1818,9.0
ostt3,NA1,Silver 1,Flex,1.3095,5.2,17.3971,29.4
ItMeSuper,2507,,Flex,1.1947,3.8,14.6437,14.4
BiscuitSticks,666,Bronze 2,Flex,NaN,NaN,NaN,NaN
annieboot,NA1,,Initiator,2.0762,3.8,7.2286,14.0
Ttvmasteryodd,5530,Iron 3,Sentinel,0.8081,4.4,9.4547,42.6
valorant sucks,7777,Silver 1,Flex,1.0556,6.0,20.7317,42.0
Dekz,7974,Iron 3,Flex,0.7842,3.6,5.4902,19.2
EndIt,0000,,Duelist,1.9983,2.0,12.7846,9.2
zuls,9805,Silver 1,Flex,0.9366,4.8,1.4286,0.4
ImFate,9495,Iron 3,Duelist,0.9979,3.4,11.2121,20.8
jHustin,7134,Bronze 2,Controller,1.1452,3.6,10.8036,19.6
Aru108,NA1,Bronze 2,Flex,1.7,4.0,7.4074,32.0
Shrooms,4909,Bronze 3,Flex,1.1111,5.0,4.878,44.0
NoahsMadre,8865,,Duelist,1.1791,4.75,9.3728,16.0
daucy,9635,,Flex,0.6125,5.0,11.3982,10.0
FoxieBoba,LUNA,Iron 3,Duelist,0.8111,6.2,10.085,35.6
fumatt,61013,Bronze 1,Controller,0.9063,3.0,11.1976,21.4
Glacier,1684,Bronze 2,Duelist,1.429,6.2,12.0382,47.8
arnold,roph,Platinum 2,Duelist,2.0619,2.6,30.3154,46.6
Ynnod,Nomed,Silver 1,Initiator,1.4252,4.0,8.7017,27.0
simpformommy,mom,Iron 2,Flex,1.359,4.6,7.6701,39.0
Atlas,3182,Bronze 2,Initiator,0.7639,6.8,8.594,42.8
MagicMetron,na1,Platinum 2,Flex,0.8333,4.0,9.7921,44.0
TheMightySIGH,0107,,Sentinel,0.5105,0.2,17.0466,7.8
6969,6632,Bronze 2,Flex,1.1667,0.0,4.0,11.0
Elmo,2200,Bronze 2,Duelist,1.1184,6.6,6.5476,15.8
Green Buff OP,420,Gold 2,Flex,0.8479,5.6,10.4984,45.2
CBT lostsocckk,kizz,Silver 3,Duelist,1.1023,3.0,5.4137,29.75
Reubone,7642,Bronze 1,Sentinel,0.9894,5.4,15.8464,31.0
lilwaltbaby,9257,Bronze 2,Duelist,1.0207,3.2,9.6129,48.0
sexyfortniteskin,6355,Iron 3,Flex,1.4667,2.0,17.284,31.0
Rule 34,Furry,Iron 2,Duelist,2.1889,2.6,20.5347,18.2
Rain,5319,Bronze 1,Duelist,0.5107,4.6,5.6149,13.0
bxzrp,2666,Bronze 1,Duelist,1.9716,2.6,20.5431,27.8
TvMods,mom,Iron 2,Flex,1.1332,3.8,6.935,50.4
lolivazk,NA1,Bronze 2,Flex,0.6388,4.4,0.0,0.0
Atlas01,1438,,Flex,0.625,5.0,11.9048,28.0
T3mPest,3321,Bronze 3,Flex,1.8,1.0,18.1818,24.0
riles,3825,Bronze 1,Duelist,0.4729,2.8,11.5495,23.8
that1S1mp,7800,Iron 1,Duelist,0.6853,2.6,7.2727,14.2
ruinns,7692,Bronze 1,Flex,0.48,4.0,28.5714,57.0
kuroo,heart,Bronze 3,Flex,0.8057,2.4,13.7406,27.6
2332,7114,Iron 1,Controller,1.0667,3.8,11.8242,20.8
Fate,20421,,Initiator,0.5322,5.8,9.7042,32.0
aaa,1439,,Duelist,1.0119,4.8,3.8835,6.4
TheoryofEvil,NA1,,Flex,0.5625,2.0,12.766,13.0
GreenGalGG,5065,Iron 2,Duelist,3.0937,5.6,3.8699,22.2
exp,12345,,Controller,0.7833,3.8,2.7682,4.4
Ghostsphinx429,4217,Bronze 3,Controller,0.7852,4.6,11.7101,20.4
snortthesnow,NA1,Bronze 1,Flex,1.3077,7.0,17.6471,49.0
frenchtoast,3595,Bronze 2,Initiator,0.5646,5.2,0.0,0.0
ooglysloath,6959,,Flex,1.0,1.0,14.2857,3.0
Sawyer,2693,Bronze 2,Flex,0.5714,5.0,11.1111,19.0
Aquatyc,slimy,Bronze 1,Flex,0.75,6.0,7.5,25.0
Bookreader34,na34,Silver 3,Duelist,0.6971,2.2,14.6667,23.2
Washed Nectar,6737,,Controller,0.8709,7.2,0.0,0.0
私は男が好き,69420,Bronze 2,Initiator,0.7033,5.2,20.5823,32.8
sparky ヅ,420,,Flex,0.5229,6.0,0.0,0.0
BigBoyTyler,2043,Bronze 2,Flex,1.0,5.0,10.5069,29.8
Misha Mikado,NA1,Iron 2,Flex,0.8196,4.4,15.5042,23.8
Im Kid,6253,Silver 3,Initiator,1.1086,7.0,18.4044,37.75
NalyDあなたを殺しました,WRLD,Bronze 3,Flex,1.1667,2.0,10.7143,9.0
XclusiveGhost,7824,Iron 3,Flex,NaN,NaN,NaN,NaN
CuteOtaku,9111,Bronze 1,Flex,0.3333,3.0,9.375,23.0
vampirevel,8388,,Flex,NaN,NaN,NaN,NaN
BananaManLF,9262,Iron 3,Sentinel,0.8714,3.2,8.0474,22.4
OllieTheMoth,Mothy,Iron 3,Flex,NaN,NaN,NaN,NaN
Street2x Twitch,3733,,Duelist,0.7774,3.8,16.9419,20.2
MinYugBam,NA1,Iron 3,Flex,1.0,2.0,3.125,15.0
drwhiteboy,NA1,Bronze 3,Duelist,1.213,5.8,9.8203,30.6
FLYINGFROG12748,6969,Bronze 3,Flex,0.9444,5.0,19.3548,34.0
gucciflipflops69,NA1,Bronze 2,Flex,1.1667,6.0,0.0,0.0
Alt account,1992,Bronze 2,Duelist,0.9413,3.2,12.8926,35.6
Hay,9760,Bronze 3,Duelist,0.9696,6.6,17.793,47.2
MFarhat2005,4316,Iron 2,Sentinel,0.9284,4.4,14.6542,27.0
