User,Tag,Rank,Position,KD,Assists,Headshot %,Ability Usage
Danny Devito,9374,Platinum 1,Initiator,0.995,5.4,16.9463,41.4
Cizual,NA1,Immortal 1,Duelist,1.3147,5.4,15.5487,51.2
SychicA,CLT,Immortal 2,Duelist,0.9829,5.0,23.5416,50.4
Juice,5986,Immortal 1,Controller,1.4634,6.2,19.2803,39.2
Muuzuu,0412,Diamond 3,Flex,1.4118,4.0,19.1781,55.0
whatisryan,NA1,Diamond 2,Initiator,1.1552,8.0,21.396,78.0
SheeshMcGeesh,3527,Diamond 2,Initiator,0.9141,6.4,26.2734,50.0
Potsu,2461,Immortal 2,Flex,0.9997,5.4,4.2553,8.8
lindstagram,xxoo,Immortal 1,Flex,1.1088,4.8,8.8519,13.6
PingKFP,6668,Immortal 1,Duelist,1.0777,3.8,7.5024,18.4
EhhFreezy,2121,Immortal 1,Initiator,1.2906,9.0,22.7073,56.2
hamsterfriedrice,AHHHH,Diamond 1,Sentinel,0.8012,6.0,13.4906,35.0
crizacked,1337,Immortal 2,Flex,1.3494,5.2,17.4088,47.4
Bulsokanu,NA1,Immortal 2,Controller,0.8556,5.4,25.8296,42.0
Rice,Shlat,Diamond 3,Flex,1.3108,6.6,15.6318,49.4
BILYTHEPICKLE,pikl,Diamond 3,Duelist,1.144,5.0,22.2727,66.8
TyTypls,4965,Immortal 1,Flex,1.1208,4.8,3.0769,7.8
pakora,0001,Immortal 2,Flex,1.2092,5.0,32.6357,42.0
Lazyturtle,8186,Diamond 1,Initiator,0.7959,7.2,13.0891,43.6
DrGoodman,DVSC,Immortal 3,Controller,0.8465,10.6,32.7359,57.4
OvechKen,9601,Platinum 3,Flex,0.8482,4.6,26.8713,45.6
idkifwork,3843,Diamond 2,Sentinel,2.3444,3.6,16.0542,37.8
Doomkilla143,NA1,Diamond 3,Duelist,0.9112,4.6,25.3625,32.0
miko,011,Diamond 2,Flex,0.7817,5.0,22.9652,35.0
TwinkieThief,8639,Platinum 2,Controller,0.786,3.0,21.3771,34.8
Janitor,4261,Platinum 3,Duelist,1.5244,3.0,24.8874,43.2
Quorine,4595,Diamond 3,Sentinel,1.4941,3.2,23.2279,38.0
Nightv2,new,Diamond 3,Duelist,1.222,3.8,23.1068,51.6
REYNASUPPORT,1337,Platinum 3,Controller,1.2849,5.0,21.6119,61.6
