User,Tag,Rank,Position,KD,Assists,Headshot %,Ability Usage
DumbWh0re,SIUT,Bronze 2,Duelist,0.8812,2.6,7.1192,18.4
LilPokeball,EZPZ,Silver 1,Duelist,1.0182,3.2,10.6349,33.2
KingOfTheJungle,nmbr1,Silver 3,Duelist,1.6115,4.6,15.4066,34.4
Loxter,7941,Bronze 2,Duelist,0.9983,3.8,6.1984,23.0
Sheba,Inu,Bronze 2,Flex,NaN,NaN,NaN,NaN
Offset Madness,1370,Bronze 2,Duelist,0.714,2.6,13.8653,24.2
LongHardRichard,6969,Gold 2,Flex,1.5026,6.8,5.5403,35.6
DKB33,9484,Iron 2,Flex,1.1687,2.5,7.0633,9.0
yutaッ,9999,Iron 2,Duelist,1.1767,2.6,5.2126,20.8
heni,rkive,Bronze 1,Flex,0.9776,4.6,1.4545,9.0
sire,5931,Bronze 2,Flex,0.7533,1.8,7.8551,23.4
Splatt,DRAIN,Diamond 3,Flex,1.2091,6.6,13.7065,41.2
Abstainingone,NA1,Iron 2,Initiator,0.7357,2.2,10.5333,21.2
Gummyber,NA1,Platinum 3,Initiator,1.1466,5.4,15.1902,33.0
abaddon,6835,Bronze 2,Flex,0.9929,5.2,10.9495,35.6
RaneMcGamingTTV,868,Bronze 2,Initiator,1.1562,5.4,11.1224,18.8
Lakotaa,9155,Silver 2,Flex,0.8786,5.4,3.0769,3.8
ngnt4,NA1,Silver 3,Flex,1.1638,4.2,14.6537,33.4
vestiga,7767,Gold 2,Flex,NaN,NaN,NaN,NaN
Mooooooooooooooo,Moo,Iron 3,Sentinel,0.8671,7.6,7.6437,31.0
malaking tItik O,1234,Gold 2,Sentinel,0.7899,4.8,23.1706,64.0
werdna,4200,Gold 2,Sentinel,2.1195,4.0,8.0,19.0
camjam6810,2763,Silver 1,Initiator,0.7389,4.2,18.8091,23.0
Rocket Bunny,hoon,Platinum 2,Flex,1.0637,5.8,0.0,0.0
Solid,420,Silver 2,Initiator,1.2933,1.0,17.0338,14.8
Sebas,1069,Silver 1,Controller,0.9165,5.8,12.9255,50.4
whev,0000,Diamond 2,Duelist,1.5233,5.2,24.5459,32.0
PGpanda123,1572,Iron 1,Flex,0.8379,4.4,8.7103,33.6
A C E ツ,4671,Bronze 3,Duelist,0.6352,3.4,21.9858,23.2
chimera,564,Silver 2,Initiator,0.9248,7.4,4.7475,17.0
CALLMEDADDY,8543,Bronze 1,Duelist,1.3975,6.8,7.9555,27.6
BIVIO,NA1,Silver 2,Duelist,1.075,2.2,10.4596,34.6
Nullify,sweat,Bronze 3,Flex,0.8386,3.8,10.2347,10.2
BambooBo1,7453,Diamond 1,Flex,2.2021,5.8,14.2436,19.6
roxel350,NA1,Iron 3,Flex,0.5667,0.6667,6.5972,13.3333
lolv4ni,bru,Silver 1,Flex,NaN,NaN,NaN,NaN
flyer,7674,Silver 1,Sentinel,1.2113,4.0,14.3142,30.2
omen go MMMMMMM,Omen,Silver 1,Controller,1.1423,3.0,20.729,38.8
Hukor,7987,Bronze 3,Duelist,0.8389,4.2,11.0077,28.8
Sloshy,0000,Bronze 1,Duelist,0.9267,3.0,9.4314,20.2
etanu,3919,Silver 2,Sentinel,1.2242,4.4,17.8075,27.6
illpinecone,3232,Gold 2,Flex,1.1341,4.8,10.9353,32.4
TheQuantumNova,NA1,Bronze 3,Initiator,1.0,4.6667,16.119,45.0
MonkeyDLuffy,ST3AW,Bronze 1,Initiator,0.6776,4.0,6.8138,51.8
Phenaximas,NA1,Silver 2,Duelist,1.8557,4.4,13.7533,20.6
Jay,1000,Gold 3,Initiator,1.3206,7.6,25.4463,48.8
4DOORSMOREWH0RES,5104,Bronze 2,Flex,0.9314,5.0,11.9875,39.8
Smonk,3271,Bronze 3,Duelist,2.2964,3.8,9.2387,40.2
jdw,0000,Immortal 3,Sentinel,1.4163,4.4,23.4164,41.0
Axis cTp,9807,Gold 1,Duelist,1.7152,2.4,21.2608,23.8
Danny Phantom,2900,Immortal 2,Flex,1.1913,3.2,16.4984,62.0
nate,101,Gold 3,Duelist,2.2833,1.0,14.6961,14.8
eteriyaki,NA1,Bronze 3,Controller,0.8193,4.6,15.9179,47.0
Scrump,9183,Gold 1,Controller,1.0003,2.4,15.7002,29.6
WarDos,3337,Bronze 1,Duelist,0.42,3.4,13.4168,26.2
bacon,WHOOO,Silver 2,Duelist,1.6642,4.6,17.7301,53.6
ItsM0t0,7125,Bronze 3,Duelist,0.5771,3.8,6.6506,30.0
Vegeta,tenzi,Bronze 3,Duelist,1.1895,4.6,4.7272,25.6
BabyPluto,1107,Silver 2,Sentinel,1.0125,6.8,5.6905,14.6
Suzuko,0001,Iron 3,Duelist,1.2765,3.8,14.28,14.2
TickleMeUncle69,6893,Iron 3,Initiator,0.5197,5.6,7.7047,34.4
sanluvr,3000,Iron 1,Duelist,0.6058,3.6,5.813,37.4
Dabbsie,NA69,Diamond 3,Sentinel,1.4977,3.6,23.0535,29.2
SADepression,PAIN,Bronze 2,Initiator,0.9963,3.0,10.9573,20.8
socklicker,6969,Bronze 2,Duelist,1.7971,3.4,18.1212,44.0
fate,悲しい,Bronze 3,Duelist,1.1044,7.0,14.1882,33.4
swift726,1494,Iron 2,Flex,1.0911,3.8,16.5386,22.8
Beatz3r,NA1,Silver 2,Flex,NaN,NaN,NaN,NaN
BIG FKN TURBAN,666,Silver 2,Flex,1.1198,2.0,28.9965,48.8
limitlessdomain,5603,Bronze 1,Initiator,1.5352,3.6,22.0665,32.6
cosmic brownie,yomom,Bronze 2,Controller,1.7698,3.3333,26.1243,50.6667
CornBeardTex,NA1,Bronze 1,Initiator,0.7071,4.8,10.7021,24.0
Surviver360,6564,Gold 3,Sentinel,1.4364,3.2,6.991,22.8
Meat Bobbler,0001,Silver 1,Flex,1.3047,7.6,10.2594,63.0
fearlesspandas,4150,Iron 2,Flex,1.2264,3.0,10.9731,41.75
Kimzy,NA1,Silver 1,Controller,0.9766,4.4,12.5705,42.6
nicksmells,die,Iron 3,Initiator,0.5568,2.2,10.52,32.0
UwasLackin,7503,Bronze 2,Flex,1.3091,5.4,13.0952,42.2
Daddy Redington,2802,Silver 1,Flex,0.5,4.0,2.0833,37.0
Provarence,NA1,Gold 2,Duelist,0.632,4.0,24.042,47.0
pikaa,uwu,Bronze 3,Flex,1.3116,3.8,3.1818,4.2
Daddy Dahlia,333,Bronze 1,Controller,1.2623,5.2,6.6934,46.8
Amiera,145,Silver 1,Flex,0.2473,3.0,0.0,2.8
Maide,000,Bronze 2,Flex,1.0435,5.0,0.0,0.0
MrObvious,aaaaa,Bronze 1,Sentinel,1.633,4.6,18.9403,22.2
TempFishlo,2897,Iron 1,Duelist,0.5892,1.6,2.2222,14.2
Firefoxplays123,NA1,Bronze 3,Sentinel,3.3464,2.4,15.7724,19.2
Smuethy,1863,Silver 1,Controller,1.1992,4.8,10.1805,55.8
Ginovas,NA1,Gold 3,Controller,1.3064,5.0,0.0,0.0
Yxxzen,0000,Silver 3,Duelist,1.777,3.8,27.9085,20.0
Shadows,3992,Gold 2,Sentinel,0.785,4.4,10.2713,27.4
GOD JIHYO,4200,Platinum 3,Controller,1.1636,4.0,0.0,0.0
taiwanrealchina,facts,Silver 3,Duelist,1.4568,5.8,11.8251,41.0
MDSleezy,3153,Bronze 2,Flex,0.8263,4.4,5.1221,27.2
MeticulousRaj,4200,Gold 1,Duelist,1.4971,4.0,25.1395,32.0
Adog211,NA1,Silver 2,Controller,0.46,0.2,10.6364,13.0
for ms gladys,2970,Silver 1,Initiator,1.1096,5.4,11.6409,41.6
viotations,NA1,Bronze 1,Sentinel,1.4978,5.2,8.1993,22.6
Raiden,3469,Bronze 1,Duelist,1.0667,2.0,15.8222,23.4
rickperson01,8674,Bronze 2,Flex,1.0781,4.2,6.7636,16.4
Hoonyx,GGEZ,Immortal 3,Controller,1.0983,5.4,22.4192,51.6
MvX,1321,Bronze 1,Flex,NaN,NaN,NaN,NaN
bxman007,NA1,Immortal 2,Sentinel,0.9014,2.6,16.7323,42.8
gray,1215,Bronze 3,Flex,0.6917,6.4,8.3856,24.8
90210,poopy,Silver 2,Sentinel,0.6542,3.8,12.7036,24.6
Turtl3Tot,8731,Iron 3,Flex,NaN,NaN,NaN,NaN
Proxy,3238,Gold 1,Flex,1.0,0.0,27.2727,13.0
Electrified101,2520,Bronze 3,Flex,0.996,4.4,15.8393,49.8
kobonacob,7147,Iron 3,Controller,1.3885,6.0,15.951,23.2
fartmuncher12,fartd,Iron 3,Flex,1.1567,3.0,13.5998,22.6
kindaadarkTTV,DBR0,Silver 1,Duelist,0.9771,6.8,9.6582,41.0
beekeeper,ily,Bronze 3,Flex,1.48,1.0,11.8003,19.2
000000,7815,Silver 3,Sentinel,1.066,8.6,18.0952,28.0
OHYFiXCk61,NA1,Bronze 1,Controller,0.951,6.4,9.9377,25.4
Im Dirty Dan,NoIAm,Bronze 3,Flex,NaN,NaN,NaN,NaN
Bran J Flakes,3232,Gold 2,Controller,1.1445,4.2,19.6941,54.2
Epic,7045,Bronze 1,Flex,1.5554,4.8,9.9576,37.6
Blaim,NA1,Immortal 1,Duelist,0.7611,3.8,27.3543,37.4
SOULRAX,1230,Bronze 1,Duelist,1.2573,3.8,7.2607,22.6
KrossFire,1983,Silver 2,Controller,1.7769,6.6,16.7769,38.8
TheFlipperNova,Nova,Silver 1,Duelist,0.9772,4.2,12.4927,32.2
OrbitVibes,bigPP,Iron 2,Flex,1.4783,10.0,23.8532,58.0
ROYALTY,3939,Silver 1,Flex,1.3195,3.8,15.3371,23.0
SoybeanUltra,Bean,Silver 3,Duelist,1.0989,4.4,13.5326,28.8
Brycee,0001,Iron 3,Duelist,2.3978,6.2,6.5118,31.8
DR3,2778,Bronze 1,Flex,1.0825,4.8,18.979,22.6
no mic 12yearold,muted,Diamond 1,Duelist,1.1563,3.0,15.1888,37.4
Daboki,187,Bronze 3,Initiator,0.9604,5.4,10.9774,36.6
MritturDebota,OMEN,Gold 2,Initiator,0.6629,4.4,13.4858,43.8
Hamborgie,9124,Bronze 1,Initiator,0.8016,4.0,9.9306,28.4
TheKidnapper,6969,Silver 3,Sentinel,0.7077,4.4,11.9682,17.0
Johnathan,JukeB,Diamond 3,Flex,0.9209,7.0,20.5462,62.0
UnlockingNut1,117,Iron 3,Duelist,0.7376,3.0,14.0756,21.2
Bontavion,0202,Bronze 1,Flex,NaN,NaN,NaN,NaN
Tonarym,NA1,Bronze 1,Controller,1.3001,5.0,11.9802,29.8
Miko,kyla,Diamond 3,Flex,1.1877,4.8,24.3883,42.8
God 0f Support,NA1,Silver 1,Duelist,0.9748,6.0,15.0014,46.8
clarythromycin,NKM0,Bronze 2,Duelist,1.0347,4.75,14.0017,38.25
TC moon,kiddo,Gold 2,Flex,1.1092,2.4,19.7324,23.8
Aakudama,NA1,Bronze 3,Flex,1.0504,9.4,6.2424,30.2
LE GROMP,monke,Gold 3,Flex,0.905,4.2,11.3251,21.6
Arteeezy,6991,Silver 2,Duelist,0.5292,3.4,12.7401,21.8
CalebthebossTTV,SIGMA,Silver 1,Initiator,1.5635,3.4,24.6582,44.4
C4Julian,1984,Iron 1,Initiator,0.7771,6.4,8.7395,15.6
sasuke,ebk,Bronze 1,Controller,1.1667,0.8,15.5769,8.2
L5Templar,1949,Bronze 2,Duelist,0.8068,2.2,16.8402,11.8
HardstuckMisfit,0404,Silver 3,Controller,1.2212,6.8,12.5195,62.2
AOE Samoh,lvndr,Immortal 1,Duelist,1.5781,3.0,29.2098,42.6
Bornana,2282,Iron 2,Duelist,1.226,2.8,11.4918,29.6
pol,sage,Bronze 3,Sentinel,0.9123,2.6,23.1003,23.8
Floating,4488,Silver 2,Duelist,1.1937,5.2,14.4136,36.6
Megumin,Rem1,Platinum 2,Flex,1.1375,3.6,7.1247,29.4
he left me,6912,Silver 1,Initiator,0.7622,6.4,11.3921,26.6
RaePingYu,2311,Gold 3,Flex,0.8421,9.0,0.0,0.0
Reuleaux,1999,Gold 1,Duelist,0.9325,3.8,10.4,17.0
DAbazooka,4920,Iron 1,Flex,0.5625,4.0,19.7183,25.0
YellowTheFlower,337,Bronze 2,Flex,NaN,NaN,NaN,NaN
Oogie Boogie,7779,Silver 2,Flex,0.8717,3.2,10.2726,34.4
theunImportantM,9162,Iron 2,Flex,0.33,2.4,1.1765,6.2
icedchaitea,3836,Silver 1,Flex,NaN,NaN,NaN,NaN
A Shy Paper Bag,ImShy,Bronze 1,Flex,0.9611,6.4,8.4318,32.8
draven support,NA1,Gold 3,Controller,1.1433,5.4,16.7262,48.6
uglywench,666,Iron 1,Initiator,1.1393,4.8,7.5694,25.6
erection,6307,Iron 2,Controller,1.0489,3.4,10.6719,22.2
Rubiks,5454,Iron 3,Duelist,1.5542,3.4,9.9456,14.0
MrCheats,SUSsy,Bronze 2,Flex,1.1259,5.4,12.7226,20.6
OLLO,6620,Diamond 3,Duelist,1.3794,4.4,0.0,0.0
NoodlesΨツ,2697,Bronze 2,Controller,1.0625,5.0,13.6107,47.6
orekiuta,NA1,Bronze 3,Duelist,1.1994,6.2,11.3147,45.8
TTViShifty,2048,Silver 1,Duelist,0.9254,3.0,22.485,25.2
yoki,1111,Iron 2,Initiator,0.7665,5.0,7.1723,17.0
z4ysold,7029,Bronze 1,Flex,1.75,4.0,25.0,9.0
brb malding,1337,Silver 3,Initiator,1.6368,5.0,25.0672,62.0
Juhg Koop,brun,Gold 3,Flex,2.3529,2.0,0.0,0.0
slclly max,NA1,Iron 3,Flex,0.744,2.5,15.0952,29.0
UnicornofVelvet,2022,Silver 3,Flex,1.6667,2.0,28.5714,15.0
fvpl,5218,Iron 1,Flex,NaN,NaN,NaN,NaN
Turtle,marz,Silver 2,Duelist,1.0576,3.4,18.42,28.8
Boss eats sauce,NA1,Iron 2,Controller,0.8203,3.2,14.3233,34.2
salami mami,mommy,Silver 2,Duelist,1.31,2.4,30.8849,36.0
Hampter,8906,Silver 3,Flex,0.8892,4.8,17.7108,32.4
rack,ofski,Bronze 3,Duelist,1.3107,3.6,10.208,22.0
JUG,12334,Gold 2,Sentinel,0.4853,5.4,17.6532,33.0
NightLight27,NA1,Bronze 1,Duelist,0.9667,2.2,19.6472,3.0
Chasewina,5787,Iron 2,Duelist,0.4733,1.4,22.0868,7.2
私たちの間で ツ,apple,Silver 2,Flex,2.403,2.75,16.369,30.0
Apbreakout,NA1,Immortal 1,Duelist,1.336,2.8,26.463,37.2
suhlena,JTM,Gold 1,Duelist,0.9135,3.2,10.1048,16.0
WendleBean,TTV,Gold 1,Sentinel,1.1493,4.2,21.4052,38.0
kingghany,2853,Silver 1,Controller,1.2144,5.0,27.0367,60.2
Ayroトライハード,orya,Bronze 1,Duelist,1.4094,3.6,32.397,37.6
 Patriºtic Panda,NA1,Silver 3,Initiator,1.123,5.6,18.1757,47.4
IconFazer,3319,Silver 1,Flex,1.0528,3.0,11.8541,41.6
ManyMenOnMe,7654,Silver 2,Duelist,0.3545,3.0,10.3804,4.6
Wildfang,5272,Bronze 3,Duelist,1.26,6.2,13.0747,45.2
Inshallah,1600,Gold 2,Initiator,0.9082,7.2,21.6185,54.2
EvilSammy2025,5957,Gold 1,Duelist,0.8483,1.8,18.2038,29.2
JustMikyX,9928,Bronze 2,Flex,1.0671,2.8,21.6838,32.4
rainy ツ,1301,Iron 1,Flex,NaN,NaN,NaN,NaN
guiltysloth3,7283,Iron 3,Sentinel,0.8414,2.6,26.7211,34.6
blutuw,pog,Diamond 3,Controller,0.8824,6.2,19.3896,49.8
Not Tenz,Coffe,Bronze 2,Duelist,1.4533,2.8,18.3838,30.8
heni,rkive,Bronze 1,Flex,0.972,5.25,1.8182,14.0
GLC Philli,6969,Bronze 2,Duelist,0.7539,4.6,8.7274,12.4
Ebralith,1120,Gold 1,Flex,1.3125,8.0,0.0,0.0
skpr,sen,Bronze 3,Flex,1.0,0.0,33.3333,10.0
Segregation1234,2280,Gold 1,Duelist,1.4059,6.0,6.9279,25.0
TheYoungBuck,7720,Gold 1,Duelist,1.0002,5.0,12.2578,39.4
Dre,1997,Diamond 1,Flex,2.1122,4.8,4.8837,11.4
xDarquashious,3616,Bronze 2,Flex,0.9167,11.0,0.0,0.0
Kanao Tsuyuri,CL9,Platinum 3,Duelist,1.197,3.6,26.876,21.2
Hyperion,3240,Gold 1,Initiator,0.9825,5.4,26.0094,43.4
Doctor Fauci,virus,Silver 3,Flex,NaN,NaN,NaN,NaN
Noahゴ,8008,Silver 2,Duelist,0.8008,1.2,9.5862,22.2
ＳＥＮＳＡＴＩＯＮＡＬ,gago,Silver 2,Flex,1.1493,4.2,16.2904,34.2
Exodias left arm,NA1,Gold 1,Controller,1.306,6.6,15.0945,49.8
Ash Kaash,SLURP,Silver 1,Duelist,0.8916,4.6,8.4161,33.0
Whorhey,6349,Bronze 3,Flex,0.5806,3.0,0.0,0.0
Throwaway,000,Iron 1,Flex,0.4333,0.6,46.7143,11.0
Badger21,9902,Bronze 3,Duelist,1.4025,3.8,10.7317,12.0
Chaos,Helix,Gold 3,Initiator,0.7544,1.6,28.3641,20.0
Mr Pear,7630,Silver 2,Flex,1.3007,5.6,9.6879,33.8
flodeo,5656,Bronze 1,Flex,NaN,NaN,NaN,NaN
