User,Tag,Rank,Position,KD,Assists,Headshot %,Ability Usage
golden boy,0135,Platinum 1,Flex,1.3125,4.0,21.7391,47.0
livelyhoods,8903,Gold 3,Duelist,1.4943,1.4,13.4423,31.2
Fade,9669,Diamond 1,Duelist,1.5948,2.6,33.8831,21.2
PMDBidoof,1616,Platinum 2,Flex,1.3356,4.4,10.3092,47.4
ItsSabs,NA1,Gold 1,Duelist,1.0221,6.6,5.9616,36.0
I Play Low Sens,nae,Platinum 1,Flex,0.8333,0.5,28.2609,6.5
Shaqtin,4638,Silver 2,Sentinel,1.4146,3.0,12.9686,22.0
Swiftly,1224,Gold 3,Sentinel,1.1618,4.2,17.1765,33.6
Animusx,YORU,Platinum 1,Flex,0.8361,4.2,21.7277,51.4
Yoriichi,5571,Gold 2,Duelist,1.2056,2.6,6.6167,24.0
tris,4021,Gold 3,Duelist,0.9544,3.0,25.0248,22.4
fen,2907,Platinum 1,Sentinel,1.7473,4.4,19.2802,50.2
true ひ,LMAO,Platinum 3,Duelist,0.6495,5.8,14.637,40.6
SkillzNinja,5103,Platinum 2,Flex,0.5193,3.8,13.4436,24.2
Careless Whisper,1027,Platinum 1,Flex,0.8396,5.2,20.8938,44.6
botAI,5034,Gold 1,Initiator,1.0347,7.0,16.4068,39.2
Dcolts,1973,Platinum 2,Flex,1.7809,4.2,16.8745,41.0
Twitch,2924,Gold 2,Duelist,1.7771,6.0,16.1385,33.0
Larry Bird,faint,Platinum 1,Duelist,0.7698,2.6,17.0268,22.8
Werhii,jett,Bronze 3,Duelist,0.6346,3.0,0.0,0.0
Kryptic,TKN,Gold 2,Duelist,2.1115,4.0,11.1205,12.8
Baked Potato,NoU,Gold 3,Duelist,2.7884,6.0,21.2116,35.4
thefreebee,6682,Gold 2,Duelist,0.8135,6.0,5.4885,23.2
BagOfMayo,123,Gold 3,Controller,1.1369,6.0,14.1504,51.4
SomeGuysThighs,Thigh,Platinum 1,Flex,1.2516,5.4,7.3956,29.8
Medkit,4348,Platinum 1,Flex,0.8442,5.0,14.4257,33.6
GoodKissChowBye,2110,Gold 2,Initiator,1.5074,4.0,29.2885,19.0
Yuta,8628,Platinum 1,Duelist,0.7718,4.2,20.7621,32.0
j1mmyNeUtr0n,bunda,Platinum 1,Flex,0.8135,6.5,22.2132,56.0
Griff,1126,Gold 3,Sentinel,1.4974,4.6,14.9511,49.4
Lane,0007,Gold 1,Flex,1.0172,8.6,11.8769,49.0
Confetti,7274,Platinum 1,Flex,1.2588,5.4,28.1655,42.2
vill,stuck,Gold 3,Sentinel,0.858,4.4,23.3264,31.6
Arkos,monke,Platinum 1,Flex,1.2964,5.2,5.9091,16.6
Stinkywag,2422,Gold 2,Flex,3.25,2.0,23.4375,40.0
Probably Boosted,Sorry,Platinum 2,Controller,0.759,3.6,24.625,38.4
Rahooligans,NA1,Gold 1,Flex,0.9412,2.0,18.75,28.0
jojeezlefthand,NA1,Gold 3,Flex,0.9405,4.6667,8.4819,33.0
Viva,uwu,Gold 2,Flex,0.9568,6.2,17.8302,56.2
ZanG,1243,Gold 3,Controller,0.8958,4.6,14.0652,55.0
picklemonster,7036,Gold 2,Flex,0.7375,7.0,16.4707,46.4
Femboi,666,Gold 2,Flex,0.7852,7.0,15.4839,38.6
Grendue,NA1,Gold 1,Initiator,1.416,5.4,17.0129,46.2
NVApo11o,7549,Gold 1,Flex,0.8073,5.0,16.254,46.8
kiwi,akiwi,Platinum 3,Flex,1.7273,8.0,25.4237,58.0
WRXTH,999,Platinum 1,Duelist,1.0286,4.0,12.2582,40.0
Nofy,NA1,Platinum 3,Flex,1.4491,5.6,16.197,34.4
nyk,stump,Gold 2,Initiator,1.0706,5.0,7.7304,24.0
Tsukiguni,moon1,Platinum 2,Duelist,1.4657,2.6,20.7732,67.6
TLO,0820,Gold 3,Flex,0.9769,4.2,14.8636,53.6
mike oxlong,5192,Silver 3,Flex,1.1111,3.0,24.5614,43.0
projector,0621,Silver 2,Flex,1.3478,6.0,0.0,0.0
Timeless,421,Platinum 1,Duelist,1.1124,2.0,22.8871,35.8
JesusChrist,240,Gold 1,Initiator,1.0749,6.2,7.9758,36.0
Jad935,NA1,Platinum 3,Flex,1.7911,3.2,16.5151,30.6
forever,fat,Gold 2,Initiator,1.2122,8.6,19.2504,46.0
luvvhiro,1 306,Gold 3,Flex,1.3112,3.8,25.7603,35.0
Heavii,9529,Gold 2,Flex,0.8101,6.0,24.1054,56.0
ZETA,JAPAN,Platinum 1,Flex,1.4286,3.5,21.3716,28.5
nice try champ,virgn,Gold 3,Sentinel,1.1276,5.4,16.5288,49.0
iPepperz,NA1,Platinum 1,Flex,1.2089,5.0,14.0118,39.2
FARTSPLOSION,FART,Gold 3,Duelist,1.0549,3.6,11.6866,29.8
Cataclysm,3737,Gold 1,Duelist,0.7094,2.0,20.604,42.75
Idealism,Ideal,Gold 1,Flex,0.9862,7.6,15.829,24.6
TurT,658,Platinum 2,Duelist,0.9521,3.2,23.5864,50.6
Yuta,XOTWD,Platinum 2,Duelist,1.7313,2.2,28.1722,31.0
syd,ney1,Gold 1,Flex,0.8292,3.8,10.0203,18.4
PercyJ2013,2899,Gold 3,Sentinel,0.8234,3.4,27.5114,43.0
OneTap23,1111,Gold 3,Duelist,0.8228,3.6,16.7509,28.4
Dozed,DZD,Gold 3,Duelist,0.8898,3.4,18.1047,24.6
NOCARD,5926,Gold 1,Sentinel,1.2994,4.0,18.6095,41.0
Captain Doinks,1283,Platinum 2,Controller,1.0205,5.2,24.1032,72.8
MooseTickler1932,8434,Gold 2,Duelist,1.2574,5.2,12.9407,38.0
Calbee,yum,Diamond 1,Flex,1.5418,3.0,23.2249,20.6
freezedown12,oui,Platinum 3,Duelist,1.1259,4.0,28.896,53.0
BrandonxRage,5735,Gold 3,Duelist,0.7213,5.6,15.5992,21.6
EMMANUEL,777,Platinum 1,Controller,1.033,3.4,12.4277,24.2
WalmartShroud,Vodka,Platinum 1,Duelist,1.0785,1.4,31.9216,34.6
violet,much,Platinum 2,Sentinel,1.285,3.4,23.8092,32.8
rexy,1055,Gold 3,Sentinel,0.92,4.2,20.7134,19.2
jojeezlefthand,NA1,Gold 3,Flex,1.4576,4.2,11.3177,28.2
brandino,666,Gold 3,Controller,0.784,7.2,9.7016,36.0
ItsQuimby,7739,Gold 2,Flex,0.8629,5.8,12.3407,48.4
