User,Tag,Rank,Position,KD,Assists,Headshot %,Ability Usage
meatrocket8,NA1,Silver 1,Duelist,0.9083,5.8,14.4633,49.4
Xeroa,0417,Silver 2,Flex,1.5109,1.8,25.3771,38.6
S1urpent,3711,Bronze 3,Duelist,1.0019,4.4,5.5575,17.2
Melloyu,8114,Iron 3,Initiator,1.4754,4.0,7.2031,14.2
Wa1fuMater1al,NA1,Iron 3,Duelist,0.8921,2.0,8.1869,12.6
KitcatPattyWack,yees,Iron 3,Initiator,1.4834,7.2,2.9886,30.2
happypopo1,NA1,Bronze 3,Controller,0.6381,4.8,8.3068,43.2
Iloveyour,5352,Bronze 3,Duelist,0.7938,3.6,23.1007,33.0
Countedsheep,sheep,Silver 1,Initiator,1.2358,2.8,20.3082,13.6
Joshie,6931,Gold 3,Flex,0.9292,6.2,2.0,4.0
FlareofDoom,NA1,Silver 1,Sentinel,1.3293,3.6,9.5592,17.8
bo0p,tyty,Gold 2,Flex,0.9398,5.6,8.9162,18.6
1998 WRX STI V5,VROOM,Silver 3,Duelist,1.0507,5.0,18.3947,41.8
teal peal,ttv,Bronze 3,Flex,0.7152,4.8,3.1085,16.4
Jellyman30,NA1,Silver 3,Controller,0.8808,9.4,15.6072,45.8
MOVE LIKE JÆGER,R2022,Bronze 1,Flex,0.9465,5.2,9.7899,33.6
swstealth,NA1,Silver 1,Sentinel,1.1276,5.4,6.0414,19.8
plankton,7767,Silver 2,Controller,1.36,2.4,17.7312,25.6
Amaterasu,6341,Diamond 2,Controller,0.9699,4.0,28.186,32.4
ItchyKnees,7762,Bronze 2,Flex,1.0021,5.75,15.9531,16.5
warped,9313,Bronze 3,Duelist,0.792,3.6,4.4928,20.0
Cyrann,NA1,Bronze 2,Flex,0.8229,7.0,9.664,49.0
Dryworm,6081,Iron 3,Flex,0.9434,7.8,9.5441,30.6
Blueberry,9222,Bronze 2,Flex,1.3381,3.6,13.8882,36.4
Milk Steak,1978,Gold 1,Flex,1.1558,6.4,7.9365,17.4
biddy,7631,Bronze 2,Sentinel,0.9079,3.2,12.309,9.8
jinx,707,Iron 3,Duelist,1.3221,2.6,8.9239,18.2
Jaefslasher11,NA1,Gold 2,Flex,0.9994,3.0,0.0,0.0
ChokeSlam,1709,Bronze 2,Flex,1.1538,5.4,10.9698,34.8
TaverasTUKing,klk,Gold 1,Duelist,1.1308,3.2,21.2732,34.6
Mehrunes Dagon,3571,Silver 1,Controller,1.7157,1.4,14.2561,9.8
Kamitani,owo,Bronze 1,Initiator,1.0795,7.4,5.261,14.6
IShadyI,1368,Bronze 3,Duelist,0.9268,3.2,14.5238,21.8
Paper3,7572,Silver 3,Flex,1.1924,4.0,19.3567,17.6
CaptTrashPanda,NA1,Silver 3,Duelist,1.1076,5.4,4.3308,15.2
