User,Tag,Rank,Position,KD,Assists,Headshot %,Ability Usage
SATCHEL DEMON,RAZE,Immortal 3,Duelist,0.6751,3.3333,10.4309,45.3333
Hateefull,3500,Silver 1,Sentinel,0.9597,2.8,6.6667,2.8
Samuel,WHT,Immortal 3,Flex,1.0746,5.6,31.499,58.0
Neo,NA3,Immortal 1,Flex,1.0889,4.8,23.8926,52.2
Shrony,2927,Radiant,Controller,1.049,3.8,26.7494,38.8
snirot,000,Immortal 3,Flex,1.1329,2.8,22.1525,49.4
Couch,Bed,Silver 2,Flex,0.3704,2.0,0.0,0.0
maso,6969,Immortal 3,Flex,0.9795,5.0,27.9522,42.6
OXG Verno,Verno,Radiant,Initiator,0.9765,4.0,19.8596,43.8
HCE nixx,5393,Radiant,Flex,0.8688,5.4,15.3571,29.8
al4k,1752,Immortal 3,Duelist,1.2293,4.0,20.1717,38.25
UL Tαςσ,taco,Radiant,Initiator,1.1962,4.8,22.0624,46.4
LuKky65TTV,Pro,Immortal 2,Duelist,0.6688,5.8,18.6769,44.6
Stonebreaker,6464,Immortal 1,Flex,1.1624,3.0,34.4444,38.0
zippy,ttv,Immortal 3,Flex,1.3287,4.4,32.2834,45.0
HOPE,1140,Immortal 3,Flex,0.7732,6.4,23.3691,57.8
beni,777,Immortal 1,Duelist,0.8144,3.6,22.8588,49.4
merami,same,Immortal 3,Flex,1.7366,3.2,10.7692,3.6
RicIsSick TTV,UWU,Immortal 1,Initiator,0.8499,5.8,17.6873,43.2
marko,P0L0,Immortal 2,Controller,0.7085,5.8,18.2634,59.0
Ranuval,sigma,Immortal 3,Duelist,1.0346,2.8,15.0108,55.8
mark phillips,insti,Immortal 2,Duelist,1.2306,3.0,25.6535,40.6
WinDoge,Grind,Immortal 3,Flex,0.85,3.0,26.9231,36.0
LEAN stinky,4201,Immortal 2,Duelist,1.6461,4.4,34.2687,52.8
Meep,102,Immortal 1,Sentinel,1.3545,3.2,16.6773,36.2
LokoLoko,7975,Immortal 2,Flex,1.7794,5.2,14.6273,30.8
StarBound,idk,Radiant,Sentinel,1.688,2.6,14.6576,32.8
ryan,null,Immortal 2,Duelist,1.4107,2.4,31.9034,37.0
TS GlxyVrtx,LuZr,Radiant,Flex,1.179,10.0,14.6361,65.4
royalG,CSGO,Immortal 3,Duelist,1.7648,5.6,6.536,13.8
angel,cait,Immortal 2,Flex,0.6637,4.0,16.8937,36.6
ThomasIsCold,5147,Immortal 2,Flex,1.1311,6.2,22.8384,52.8
Titus JaydeL,3259,Immortal 2,Initiator,1.0078,6.2,28.4115,42.4
EMP Bon,999,Immortal 3,Flex,1.7554,5.8,29.052,63.2
DIG EMUHLEET,na1,Immortal 1,Initiator,0.8133,9.2,10.8221,59.0
Tymeflies,meow,Immortal 2,Flex,0.8263,6.6,19.3367,45.8
Geb3t,3616,Immortal 2,Initiator,1.3049,6.8,28.7006,35.4
RyanTheGreat,TTV,Immortal 3,Flex,NaN,NaN,NaN,NaN
n2k,999,Immortal 1,Duelist,1.4266,5.2,22.4362,50.2
evortrey,goat,Immortal 2,Initiator,0.8597,6.6,20.4562,39.8
jollibee,001,Gold 1,Duelist,1.1409,5.8,0.0,0.0
Xavier,yeah,Immortal 2,Sentinel,0.7939,2.6,19.9377,50.0
JPARK,JMC,Immortal 3,Duelist,0.6425,2.4,5.4167,9.4
BIGBONER94V2,BACK,Immortal 3,Duelist,1.1637,5.4,17.2174,64.0
cjm,2121,Immortal 3,Duelist,1.4611,2.8,23.8656,39.4
Notexxd,KTTA,Immortal 3,Controller,2.0756,3.6,35.8584,30.4
quit w,111,Immortal 1,Flex,1.5494,8.2,20.0518,58.6
tie,888,Immortal 3,Duelist,1.0856,4.6,26.1021,44.0
Vital,Deez,Radiant,Flex,NaN,NaN,NaN,NaN
