User,Tag,Rank,Position,KD,Assists,Headshot %,Ability Usage
Dirtydingo,Myvy,Bronze 2,Controller,0.9479,5.6,12.3087,22.4
LOSER,7047,Bronze 2,Flex,0.6769,5.8,16.5444,21.2
Yamroll,6784,Silver 1,Duelist,0.9084,3.4,8.3661,25.2
CookieNinja15,8412,Gold 2,Duelist,0.5597,4.4,8.61,15.6
NightElko,1953,Iron 3,Initiator,0.6223,6.4,5.8241,25.2
Acculect,8786,Bronze 3,Duelist,0.8723,1.4,16.2866,16.8
genricusername,9355,Silver 1,Controller,0.7986,5.4,9.5518,42.0
Hailzed,NA1,Bronze 3,Initiator,0.99,5.2,8.8244,8.4
checha,1111,Iron 2,Controller,0.8318,3.2,10.3296,11.0
ArcanineHusbands,chess,Bronze 3,Flex,0.9433,5.2,12.3399,47.2
Swaizy,9250,Silver 2,Flex,0.8929,7.6,5.7998,26.6
Giga,glhf,Silver 3,Flex,0.8577,8.4,12.4796,36.4
Penguinboy,9999,Silver 1,Flex,1.06,4.0,4.1534,37.6
cindylauren,1470,Silver 1,Flex,1.6141,2.0,7.5294,10.4
Tweakerz72,111,Bronze 3,Duelist,1.6279,5.4,13.2221,32.2
hueday,1738,Bronze 2,Flex,0.7473,5.0,4.2525,15.8
ARC2ARK,1408,Silver 1,Duelist,0.7074,3.0,10.4222,23.0
xeno,owo,Bronze 3,Duelist,1.9878,1.8,18.4605,20.2
DonnieRavioli,Salt,Bronze 2,Initiator,1.2867,6.0,6.1792,18.6
nate,0000,Platinum 2,Sentinel,1.3605,2.6,17.727,24.4
Sucrose,5728,Bronze 1,Duelist,0.6796,3.4,17.0415,20.6
cocomanV18,coco,Gold 3,Flex,1.2957,5.0,23.6865,53.8
Plymby,6565,Bronze 2,Flex,1.5757,2.4,7.5406,16.0
Ayaka Kamisato,Aqua,Silver 1,Flex,0.7761,3.4,15.4138,23.8
Riftyz,5562,Bronze 2,Duelist,1.4623,3.2,20.6009,13.2
strawberrysooj,NUT,Silver 1,Initiator,0.4085,3.8,7.8981,24.8
nightman,420,Bronze 3,Sentinel,0.9396,5.6,11.6976,29.6
o3o,NUT,Gold 3,Initiator,2.9,3.2,20.9367,28.8
kimmy chann,chad,Bronze 2,Duelist,0.9083,3.0,11.9116,14.8
devilinkuss,pleb,Iron 3,Controller,0.7225,2.4,14.5844,22.6
TheBigGinger09,NA1,Bronze 2,Flex,0.7403,4.4,10.5687,43.8
thesmilingaxo,8657,Silver 1,Flex,1.3562,3.6,9.3195,24.8
Simon420,Simon,Silver 1,Controller,1.3568,2.4,12.1079,39.0
FellsBells,2000,Silver 1,Controller,0.7188,3.0,12.7109,27.2
JKimmy,NA1,Bronze 3,Flex,1.1404,3.0,18.5159,19.4
Segway,dmg,Silver 3,Duelist,0.9665,3.6,19.616,21.8
AceOkami,6176,Platinum 1,Duelist,1.4165,2.8,14.0758,22.2
Red1spyko,8401,Silver 2,Duelist,0.8571,4.0,18.0208,36.4
Jìmmy B,NA1,Silver 2,Flex,NaN,NaN,NaN,NaN
Beric,000,Diamond 1,Flex,1.2288,7.0,3.244,22.8
Clwd,meow,Silver 2,Duelist,1.6448,4.8,13.3581,44.0
LordMac,LDMC,Bronze 2,Duelist,1.1613,3.6,15.2941,24.2
Virtuosø,NA1,Bronze 3,Duelist,1.0566,2.8,18.0967,48.0
