Rank,KD,Assists,Headshot %,Ability Usage
Iron 1,0.77155,2.8,8.913,19.9
Iron 2,0.9439529411764706,5.03529411764706,12.489794117647058,21.564705882352943
Iron 3,0.9859193548387096,3.832258064516129,12.171400000000006,19.045161290322582
Bronze 1,1.0556236842105262,4.765789473684211,12.618602631578948,23.67236842105263
Bronze 2,0.9706709677419355,4.5612903225806445,11.550351612903224,19.15483870967742
Bronze 3,1.0263170212765955,4.480851063829786,13.485968085106379,26.004255319148932
Silver 1,0.9872018181818182,4.378181818181818,13.582249090909091,27.585454545454535
Silver 2,1.130048780487805,4.726829268292682,14.968680487804882,29.57073170731708
Silver 3,1.1166866666666668,5.313333333333332,15.004663333333333,31.19333333333333
Gold 1,1.0277487179487177,4.6239307692307685,17.668392307692315,31.937607692307694
Gold 2,1.12215,4.894117647058824,16.200649999999996,36.17058823529412
Gold 3,1.1416333333333333,4.093333333333335,17.194753333333335,32.72666666666666
Platinum 1,1.1113085714285715,4.577142857142857,16.329791428571426,32.857142857142854
Platinum 2,1.2839000000000003,4.300000000000001,17.91654230769231,34.184615384615384
Platinum 3,1.1382800000000002,4.850835,20.251195,34.667500000000004
Diamond 1,1.2291250000000002,4.319999999999999,16.033155,36.72
Diamond 2,1.0619090909090907,4.0249999999999995,20.02525909090909,33.35454545454546
Diamond 3,1.2013448275862066,3.868965517241378,18.28195517241379,34.255172413793105
Immortal 1,1.2363263157894737,3.926315789473684,20.09094210526316,35.07368421052632
Immortal 2,1.1843999999999997,3.3888888888888893,22.49916666666667,38.39999999999999
Immortal 3,1.2339264150943396,3.732075471698113,24.283307547169812,41.87924528301886
Radiant,1.3208777777777774,3.503703703703704,23.573425925925925,43.17222222222222
