Rank,KD,Assists,Headshot %,Ability Usage
Iron 1,0.20308182341115608,0.7949842765740716,2.947713916240855,9.124034195464198
Iron 2,0.3188738975121982,1.3805668807706135,4.404162289874836,12.274101484486021
Iron 3,0.3402386800903007,1.5138222332925007,4.80363876672058,13.967928633230853
Bronze 1,0.2798313645065119,1.6360648635021189,4.985159145539356,12.999327669660534
Bronze 2,0.3028912656217012,1.4454236976626285,4.389071869780767,10.20320523137194
Bronze 3,0.28693195231710283,1.7077578794401491,5.677652380434965,14.376458347654639
Silver 1,0.41276331654736415,1.4811984060039753,5.87903421031476,13.653205691009918
Silver 2,0.3181515630810402,1.6843666195608693,5.6658338097474035,14.041321414692673
Silver 3,0.32878905939023073,1.6370565118493945,5.326810810904815,14.289050546388356
Gold 1,0.36417578187387517,1.3165786381165492,6.192847214980519,15.998541600200108
Gold 2,0.3001631631296552,1.6988850833166413,4.7554289367521845,15.084449992589967
Gold 3,0.27412978582137776,1.4549903769430905,6.956059233374398,15.679952197022189
Platinum 1,0.23622518752979085,1.4588289201211424,6.920793425076041,15.61775165209982
Platinum 2,0.3224248839596146,1.6298500821617248,6.879247992821155,15.575361798728476
Platinum 3,0.22951974866297623,1.4416364969969664,8.308309922333942,17.464803704051548
Diamond 1,0.2693681395699659,1.7273400660274465,6.5531188465065044,12.371808777282828
Diamond 2,0.260573832349419,1.96525075405552,6.240214540110402,13.920809867547975
Diamond 3,0.1714540454637404,1.409735060632483,5.739761575379755,12.63972495977755
Immortal 1,0.20047883576513406,1.1390504367392593,4.925190478576074,16.382996188199645
Immortal 2,0.3172769461632325,1.2768189639360257,6.915464797526869,13.955228410886006
Immortal 3,0.22728888409023862,1.5299806106660583,7.675430564075456,15.031321758342376
Radiant,0.267343635171415,1.6455191683275325,6.154076509157703,12.017764628526667
