Rank,KD,Assists,Headshot %,Ability Usage
Iron 1,0.07071152442106175,0.3818181818181818,0.8659218559211814,3.5896177194655174
Iron 2,0.07265149514961648,0.43052704369590467,1.6127756676488996,3.328966837026198
Iron 3,0.055136207805919595,0.22497165354319462,0.5825955330103774,1.7305362340514534
Bronze 1,0.035608645979108226,0.18970242093811923,0.6784617649366096,1.699520964617719
Bronze 2,0.03961099176820681,0.2064686173267705,0.67083776252806,1.5333286489080322
Bronze 3,0.04457800103665655,0.20746699614402783,0.6583727623929635,1.8805761094969082
Silver 1,0.04381263872064095,0.2148110890925015,0.833875914070925,1.7627551768761924
Silver 2,0.04022975341665328,0.31671121936657554,1.1962447324260796,2.1067145112107695
Silver 3,0.05525919617591065,0.27505791101682353,0.9591243731574822,1.952417259612069
Gold 1,0.0425128500301439,0.19727215065114936,0.9409466349698746,1.9223536311708265
Gold 2,0.04192554254159346,0.28090746448152737,1.0597435469421241,2.3425689513260197
Gold 3,0.03339892826900706,0.26752805955899656,0.9654226548451447,2.3089791855179023
Platinum 1,0.04701383858738159,0.23470625733622064,1.1341137696008952,2.4193880480990813
Platinum 2,0.05264116642570782,0.2864353587293299,1.5685387051500055,2.6249450669320065
Platinum 3,0.031980396029091245,0.2701741713048024,1.134337919655098,2.989778642535421
Diamond 1,0.04399443988745944,0.29809066948904256,1.202570894881687,2.4079930070941042
Diamond 2,0.06766322503898065,0.3233470086174595,1.2765919460087913,3.380276257008611
Diamond 3,0.04657919461525625,0.3214547185758432,1.3800492682037921,2.2749285703072086
Immortal 1,0.033193537502926605,0.2461329233292888,1.3659825176295275,2.5300111780590586
Immortal 2,0.0423592043328953,0.2512783882516896,1.3196363012381715,2.5577375357481755
Immortal 3,0.031089645684604504,0.19779977590941625,0.8901560522990087,1.869602291509721
Radiant,0.04375091653069272,0.24650245746941662,1.242160483213119,1.98287217219922
