Rank,KD,Assists,Headshot %,Ability Usage
Iron 1,0.23452359485871468,1.266347647226607,2.871937893858747,11.90541511627835
Iron 2,0.2516721616899592,1.491389427427466,5.5868187951574235,11.531879396882474
Iron 3,0.38595345464143715,1.5748015748023623,4.078168731072641,12.113753638360174
Bronze 1,0.2616690392406692,1.3940224028071797,4.9856554022483905,12.488877511428226
Bronze 2,0.31935402530101537,1.6646032098232435,5.408466948793114,12.362090780346929
Bronze 3,0.3275800688792043,1.5245648370625,4.838031985228172,13.819355672207315
Silver 1,0.34775203900900514,1.7050101617930953,6.618684878755001,13.991435460918241
Silver 2,0.24137852049991967,1.9002673161994532,7.1774683945564774,12.640287067264616
Silver 3,0.3623587818258783,1.80367534211575,6.289399114139881,12.802856153692321
Gold 1,0.3036024757836484,1.408804944819906,6.719703048715595,13.728350871355918
Gold 2,0.24803485462580396,1.6618709715409377,6.269527373334579,13.858824813456733
Gold 3,0.21644979371615886,1.7337799835500711,6.256653890419893,14.963895379362503
Platinum 1,0.2936013278752234,1.4657401072762772,7.082538221113653,15.10907351772777
Platinum 2,0.2735315244570447,1.4883617832102507,8.150366192874325,13.639614669010568
Platinum 3,0.16306866340476145,1.3776233715519473,5.784011187329589,15.24493963961106
Diamond 1,0.2676077304888957,1.8132147549994588,7.314953179413523,14.647249636772152
Diamond 2,0.3100718505059601,1.4817621427270464,5.850079224156265,15.490371817603961
Diamond 3,0.2375082222706276,1.6391038827547013,7.036898148290578,11.599905172026192
Immortal 1,0.22756342808552335,1.6874023081325962,9.36470433105427,17.34488277192665
Immortal 2,0.21599040947369716,1.2812734050395092,6.728851250858843,13.04195360542867
Immortal 3,0.2582499927334037,1.6430483386490047,7.394191505747896,15.530083008820963
Radiant,0.2767050919138021,1.5590184288642845,7.856112692817611,12.540784746230283
