Rank,KD,Assists,Headshot %,Ability Usage
Iron 1,0.0478407084741251,0.2672166078789586,1.0044389452548843,2.5247967021736697
Iron 2,0.05177602760162354,0.25374324159090667,0.8607478710234656,2.023841807332535
Iron 3,0.0426806121943151,0.1883958442274257,0.5850520047418489,1.367479715669807
Bronze 1,0.02944319654664348,0.15495875706716192,0.5259827698312115,1.2111072002273697
Bronze 2,0.027315914454006225,0.14847146365091612,0.479867329434276,1.146200384456936
Bronze 3,0.025993921911054967,0.13846375490576077,0.4758825680806998,1.0884422140227332
Silver 1,0.028261543537539263,0.1320368856213645,0.5526194715089306,1.1569324053230465
Silver 2,0.027871282358600962,0.13886894155897622,0.618234527333867,1.2385231997755186
Silver 3,0.030003189180280113,0.16065291043651,0.6629091113299356,1.4220506518049065
Gold 1,0.028710779884574787,0.1502800488888994,0.5733207604610606,1.2928784245729257
Gold 2,0.023447392574729043,0.14456934634735635,0.5911828541228524,1.2475349724995488
Gold 3,0.024471212068671082,0.1276216488517179,0.6304012230773933,1.295802146336868
Platinum 1,0.02357789031935643,0.1477649961429938,0.7002865849471661,1.3573444412625106
Platinum 2,0.031966370224280276,0.15757508981043347,0.8437995177886892,1.666411501437887
Platinum 3,0.03722309872401271,0.19827452197688672,1.1041448051283225,2.11606609818161
Diamond 1,0.029940999486645088,0.2236302452268437,1.0231088019186214,1.8190239803373214
Diamond 2,0.028027912389059415,0.22341059914858066,1.0317426615981955,2.0213931101762213
Diamond 3,0.03160144218068473,0.16361956686995643,0.9283674469906653,1.9245129016910534
Immortal 1,0.027035041007020796,0.19533690787665212,0.9529057724346688,1.851642175578115
Immortal 2,0.03410847071669123,0.18577635281958882,0.738072458510014,1.777517493482263
Immortal 3,0.019369159635005316,0.1372768598184062,0.6233968126198289,1.1634716680460704
Radiant,0.034101276714983475,0.17528502050038106,1.0548163767593326,1.87336780297083
