Rank,KD,Assists,Headshot %,Ability Usage
Iron 1,0.29100366892932866,1.6254151698795216,6.109763580168675,15.357738776602512
Iron 2,0.3661118022000986,1.794235668091865,6.086406564925763,14.310722660136738
Iron 3,0.4093780507915632,1.8070294572140015,5.611621694236523,13.11640465579995
Bronze 1,0.33955550716136096,1.7870715654694305,6.0659292167967696,13.967169595478639
Bronze 2,0.33677321112835723,1.8304791391420134,5.916201770263956,14.13130740030952
Bronze 3,0.3379209848437146,1.8000288137748899,6.186473385049097,14.149748782295532
Silver 1,0.3770560198115294,1.761591772033718,7.372863344167187,15.435403496721731
Silver 2,0.3309531411304528,1.6489773173361604,7.34112826758053,14.70664815686731
Silver 3,0.34731202451448295,1.8596918891716054,7.673727754128943,16.46142641280013
Gold 1,0.3654285686916688,1.9127527496349597,7.2971819553067965,16.455655822775327
Gold 2,0.29658866291305436,1.8286736571975606,7.477937330669112,15.780207895256389
Gold 3,0.29568678045533503,1.5420582503012503,7.617166960254391,15.657236906870898
Platinum 1,0.2657093295553873,1.6652269361299223,7.8918290170425305,15.296495003520647
Platinum 2,0.30661065201497684,1.5114071660034194,8.093440653534135,15.983657618813394
Platinum 3,0.28102823253403386,1.4969398136579464,8.33611047128312,15.975948695360534
Diamond 1,0.2776614066129793,2.0738615782878975,9.487920708376977,16.868934427806398
Diamond 2,0.23281732587873807,1.8557878141164246,8.570298213222179,16.790952245327986
Diamond 3,0.29135090109939354,1.5084978708405696,8.559124950233937,17.743132255774402
Immortal 1,0.2676332515600911,1.9337367304582969,9.433285869285031,18.330322341552158
Immortal 2,0.2993006158473726,1.630180880011486,6.4765595387403225,15.597652703273369
Immortal 3,0.25254294415856143,1.7898712694136412,8.128100000453708,15.169814593422162
Radiant,0.2972880380926593,1.5280993813552328,9.195675980571313,16.33164187446533
