Rank,KD,Assists,Headshot %,Ability Usage
Iron 1,0.6980636363636363,4.381818181818182,9.929627272727275,21.69090909090909
Iron 2,0.6339333333333333,4.566666666666667,11.248908333333333,20.733333333333334
Iron 3,0.9474040816326532,4.7142857142857135,10.201291836734697,27.877551020408166
Bronze 1,0.9387351851851853,4.917283333333335,11.667027777777777,27.3962962962963
Bronze 2,1.0212492307692307,4.741538461538461,12.65806,26.910769230769226
Bronze 3,1.0856870370370366,5.08642037037037,13.30445185185185,29.888888888888882
Silver 1,1.0772253968253966,4.78015873015873,15.206026984126986,30.346031746031755
Silver 2,1.064511111111111,5.1611111111111105,14.646966666666666,30.716666666666672
Silver 3,1.1320116279069767,5.609302325581396,14.985686046511626,32.84069767441861
Gold 1,1.0547431372549019,5.110784313725491,14.280470588235294,32.67941176470589
Gold 2,1.151397142857143,5.262857142857143,15.238982857142858,33.59428571428571
Gold 3,1.0362261904761905,5.228571428571429,16.59358095238095,33.74761904761903
Platinum 1,0.9967358974358979,5.328205128205128,17.71894102564103,34.61025641025641
Platinum 2,1.120611111111111,5.26851851851852,18.933744444444443,40.02962962962962
Platinum 3,0.9821461538461537,5.523076923076923,17.94096538461538,39.94615384615385
Diamond 1,1.1020621621621622,5.6054054054054046,18.099448648648654,34.34054054054054
Diamond 2,1.0049047619047617,5.419047619047619,19.144523809523808,37.61904761904761
Diamond 3,1.0479269230769228,5.588461538461538,20.425930769230774,41.449999999999996
Immortal 1,1.0644574468085108,5.646808510638297,19.039361702127664,38.4936170212766
Immortal 2,1.093246153846154,5.838461538461539,23.52985384615385,45.41538461538461
Immortal 3,1.1353913043478265,5.466666666666668,22.185931884057972,44.03478260869565
Radiant,1.1284325000000002,5.964999999999998,23.0079675,46.550000000000004
