Users,Tags,Rank,Rank Name,Ability Usage,Headshot %,Position,KD,Assists
FaZe POISED,NSIC,22.0,Radiant,18.8,9.128,Controller,1.7744,3.8
hambooger,ohnos,12.0,Gold 3,8.8,5.7059,Flex,1.6169,4.4
Dinxx,frog,24.0,NaN,44.6,34.628,Duelist,1.3659,3.2
flyday chinatown,999,17.0,Diamond 2,8.6,2.8986,Flex,1.2945,3.4
totallynottoxic,2111,9.0,Silver 3,,,Flex,,
stalecheetos,mlkrs,17.0,Diamond 2,0.0,0.0,Flex,1.1904,4.6
Korsonix,100,24.0,NaN,65.0,24.3797,Initiator,1.6493,6.8
INSOMNIAC ION,1859,10.0,Gold 1,0.0,0.0,Flex,0.3333,4.0
donglongrin,5809,11.0,Gold 2,0.0,0.0,Flex,1.1111,6.0
doctordanty,9729,23.0,NaN,50.2,28.7505,Flex,1.1008,4.2
Penguin,2007,13.0,Platinum 1,29.5,8.4746,Flex,0.75,4.5
commit apoptosis,NA1,9.0,Silver 3,12.2,1.4219,Flex,0.5523,5.0
cow,260,13.0,Platinum 1,24.0,7.7733,Flex,0.888,4.2
How1,9545,5.0,Bronze 2,35.25,5.0066,Duelist,1.3801,4.25
miniature1,ttv,24.0,NaN,70.0,31.25,Flex,1.0,3.0
xMewFFeXz,9576,,NaN,,,Flex,,
Fergie,boobs,13.0,Platinum 1,42.4,33.5793,Sentinel,0.9676,6.4
1KingB,KING,21.0,Immortal 3,41.0,22.4052,Initiator,1.1624,5.0
Dewteal,1523,18.0,Diamond 3,47.8,17.7718,Flex,1.2851,4.8
Selc,707,,NaN,0.0,0.0,Duelist,1.1304,5.4
twitch deanhpx,dean,20.0,Immortal 2,10.6,2.5,Sentinel,1.2245,3.8
Kyubey,8542,11.0,Gold 2,0.0,0.0,Flex,1.5,4.0
JPARK,JMC,23.0,NaN,23.2,22.2402,Flex,1.406,3.6
Unday,NA1,11.0,Gold 2,59.4,14.7783,Initiator,0.9604,12.6
Ozzborne,uWu,19.0,Immortal 1,35.8,27.3126,Duelist,1.4029,3.6
Fallacy,9675,14.0,Platinum 2,0.0,0.0,Duelist,0.892,3.8
cornbread,4170,9.0,Silver 3,24.4,8.1047,Flex,0.9775,3.4
Miracle,XXX,22.0,Radiant,19.8,16.0536,Initiator,1.0087,2.2
ITWILLCONSUME,moo,6.0,Bronze 3,33.4,16.2957,Duelist,1.7649,3.4
Cheeser,NO1,20.0,Immortal 2,0.0,0.0,Flex,1.1933,2.4
ayosimon,1234,15.0,Platinum 3,38.4,16.225,Flex,0.8985,3.6
Yoon,JJJJJ,15.0,Platinum 3,0.0,0.0,Flex,0.9712,7.4
tyfoon,DecaD,24.0,NaN,43.6,23.1814,Initiator,0.9309,6.2
Jupiter,9237,8.0,Silver 2,0.0,0.0,Flex,1.3636,4.0
Soyaa,jnrd,23.0,NaN,38.0,22.0668,Duelist,1.3731,7.0
BoheminRapSnacks,7387,15.0,Platinum 3,40.6,20.7472,Duelist,2.2105,4.2
Fart,Eater,12.0,Gold 3,27.4,42.0489,Duelist,1.8018,3.0
Shiro,DEMON,23.0,NaN,23.4,20.1963,Initiator,1.3212,5.2
DOYUN,doyun,23.0,NaN,0.0,0.0,Flex,0.8667,7.0
DESPAIR,77777,24.0,NaN,7.2,4.1026,Flex,1.7228,4.8
Vee,9876,11.0,Gold 2,46.0,15.493,Flex,1.2778,5.0
jace,2179,10.0,Gold 1,24.4,13.5512,Duelist,0.6625,2.6
beta,002,23.0,NaN,47.8,26.8004,Duelist,0.9908,4.6
BORZ,SMASH,16.0,Diamond 1,6.6,5.6522,Duelist,1.2535,2.2
SeñorChinese,NA1,17.0,Diamond 2,37.4,42.4762,Initiator,0.9774,3.2
GodTierEboy,TTV,14.0,Platinum 2,18.0,12.5189,Duelist,1.3238,4.0
Rukia,5993,15.0,Platinum 3,5.2,3.75,Controller,0.7982,3.0
divinity,anova,14.0,Platinum 2,0.0,0.0,Flex,0.963,5.0
ruby,321,23.0,NaN,45.6,21.801,Controller,1.055,4.4
unex,LFT,23.0,NaN,46.6,19.7278,Duelist,1.3812,3.2
Dtrix,999,23.0,NaN,29.8,7.7809,Flex,0.9493,3.6
Quasar,BBNJ,12.0,Gold 3,19.2,5.0528,Duelist,0.965,3.0
Parachutes,5674,15.0,Platinum 3,50.0,18.1264,Initiator,1.8502,4.8
Affect,9771,10.0,Gold 1,0.0,0.0,Flex,1.0667,11.0
RaM,kft,23.0,NaN,22.6,22.6559,Duelist,1.7324,3.4
tray,003,16.0,Diamond 1,36.6,28.0204,Duelist,1.351,4.4
Tashrick,0000,15.0,Platinum 3,14.4,8.9976,Initiator,0.8284,6.6
Savyo,NA420,23.0,NaN,52.2,21.4111,Sentinel,1.2691,4.8
s4uce,RAW,23.0,NaN,56.8,22.3727,Initiator,1.1959,4.6
Ishan,lmao,22.0,Radiant,26.6,21.1215,Flex,0.5642,6.6
EG pho,rat,23.0,NaN,40.4,27.7352,Initiator,1.5939,6.2
erudite,0000,24.0,NaN,24.2,20.4508,Duelist,0.8333,2.8
Senor Piggy,oink,11.0,Gold 2,0.0,0.0,Flex,0.9259,4.0
d00m,supa,13.0,Platinum 1,19.0,11.1321,Controller,1.1523,3.25
w0rldw1de,001,23.0,NaN,57.4,24.1672,Controller,1.1524,6.8
Klaster,NA1,14.0,Platinum 2,29.2,8.5406,Controller,1.2617,3.8
ichigo,lenny,19.0,Immortal 1,25.6,7.4472,Flex,1.075,6.2
Skye,nya,6.0,Bronze 3,8.8,2.7083,Flex,1.084,4.2
kai,416,21.0,Immortal 3,16.6,20.8828,Duelist,1.124,5.4
SWARM Sam2,999,23.0,NaN,35.4,21.3297,Duelist,1.1361,6.0
Poopfart,Sol,15.0,Platinum 3,0.0,0.0,Flex,0.7,4.0
KyoshiSenpaiOwO,2021,6.0,Bronze 3,,,Flex,,
meeko,meeks,15.0,Platinum 3,38.0,16.8825,Flex,0.8054,5.8
DJ PHAT,yesh,18.0,Diamond 3,21.8,10.3619,Controller,1.2217,6.4
METRO Crescent,Chris,24.0,NaN,25.6,18.3476,Duelist,2.2167,2.2
Otomo,O2MO,12.0,Gold 3,77.2,11.9744,Controller,1.0584,10.2
EG C0M,512,23.0,NaN,65.2,24.5292,Initiator,1.1026,4.6
Jenny Matrix,dryft,23.0,NaN,33.8,22.7519,Flex,1.0233,4.2
GotJuice,Juice,23.0,NaN,28.4,10.1416,Initiator,0.8719,8.4
160807,8726,,NaN,11.4,10.7407,Duelist,2.6381,1.6
TRClouds,bang,21.0,Immortal 3,32.2,23.7085,Flex,1.18,7.0
kaymyb,2132,6.0,Bronze 3,20.0,9.1415,Flex,1.35,2.2
Altiode,MTX,15.0,Platinum 3,35.2,17.3273,Duelist,1.1667,1.4
Aslea,TTV,,NaN,6.0,13.1111,Duelist,0.975,2.8
chocobean,4821,14.0,Platinum 2,15.2,14.6718,Flex,1.0517,3.4
LG mada,1945,24.0,NaN,48.6,38.9124,Duelist,1.0097,3.0
Dubz,scar,23.0,NaN,25.6,19.0157,Flex,1.0379,2.4
FaZe supamen,1929,22.0,Radiant,0.0,0.0,Duelist,1.9758,5.6
ChaseValor,2222,23.0,NaN,36.6,26.8074,Sentinel,1.0715,2.4
Soft,exe,20.0,Immortal 2,0.0,0.0,Initiator,0.7071,5.6
Metrx,peek,20.0,Immortal 2,39.6,21.5426,Initiator,1.4172,3.4
predator,6560,,NaN,0.0,0.0,Flex,0.6857,4.0
trentmac09,2336,10.0,Gold 1,0.0,0.0,Flex,1.25,2.0
Mezakei,9845,14.0,Platinum 2,35.4,11.1076,Flex,1.1457,4.4
bladeQ,719,19.0,Immortal 1,54.4,23.0778,Flex,1.0956,6.0
ValorantLover23,sol,,NaN,33.5,10.9271,Flex,0.9751,8.0
TB jangler,kai,24.0,NaN,19.8,10.4545,Flex,1.2495,2.6
Ashleysimp2014,Winn,17.0,Diamond 2,6.8,3.4146,Flex,1.3514,4.2
bobbybutt69,NA1,10.0,Gold 1,21.8,16.7596,Flex,0.84,5.2
Nader,mei,23.0,NaN,24.8,16.685,Flex,1.0287,5.0
lemon jar,NA1,5.0,Bronze 2,13.4,9.3751,Controller,1.3993,3.2
SWAAG,1337,,NaN,8.4,5.2198,Duelist,2.3306,3.0
ZetVAL,いいね,9.0,Silver 3,,,Flex,,
Melly1629,6495,7.0,Silver 1,10.0,14.3083,Initiator,1.6879,4.8
ElGorilla,NA1,9.0,Silver 3,,,Flex,,
canmey,9276,7.0,Silver 1,33.0,14.4418,Flex,0.5767,6.8
SmallKnobRob,123,8.0,Silver 2,30.6,14.6761,Flex,1.316,3.2
avocado toast,6973,3.0,Iron 3,38.0,11.9403,Flex,0.6316,7.0
Weebu,Trash,9.0,Silver 3,19.2,4.3809,Duelist,1.0125,3.8
Grug Bot,6969,6.0,Bronze 3,30.8,6.6462,Flex,0.9764,4.4
Crown Me,NA1,20.0,Immortal 2,23.4,10.1205,Duelist,1.493,4.6
uxiob,5214,,NaN,,,Flex,,
