Users,Tags,Rank,Rank Name,Ability Usage,Headshot %,Position,KD,Assists
TAW,9906,,NaN,,,Flex,,
Hasuko124,2910,4.0,Bronze 1,38.2,7.1505,Flex,0.8252,2.2
keben,poop,8.0,Silver 2,23.4,8.9183,Flex,1.3092,4.0
donn,9175,7.0,Silver 1,14.2,14.1297,Initiator,1.5004,5.4
zooka,2642,14.0,Platinum 2,0.0,0.0,Flex,0.634,3.4
LuxeX0,4201,,NaN,19.0,10.1695,Flex,0.4286,4.0
Blastwave1st,6499,,NaN,,,Flex,,
LAGGING,5976,3.0,Iron 3,35.0,11.8784,Duelist,0.6005,1.6
XueHuaPiaoPiao,4374,6.0,Bronze 3,19.6,11.6006,Duelist,1.0229,2.2
Peacocк,yoru,9.0,Silver 3,52.0,15.841,Duelist,1.3585,5.2
Myself,7921,,NaN,66.0,12.069,Flex,1.1333,6.0
Karma,4725,12.0,Gold 3,28.0,22.5302,Controller,1.4764,2.8
Tristan,9606,,NaN,33.2,11.8257,Flex,0.9147,7.6
ThePil,1095,10.0,Gold 1,32.4,15.0608,Duelist,2.6187,5.2
Dolo,0902,,NaN,39.6,21.6827,Initiator,1.1274,5.6
NarwhalKnight,9459,5.0,Bronze 2,16.6,13.1574,Duelist,1.055,2.4
Doctor Kirra,9999,,NaN,,,Flex,,
EXTC,Utube,8.0,Silver 2,,,Flex,,
Burhan,5781,8.0,Silver 2,25.0,10.0,Flex,0.8333,2.0
unlook,NA2,9.0,Silver 3,32.0,12.6984,Flex,0.7222,6.0
bycko,1415,9.0,Silver 3,24.0,12.7926,Initiator,1.0267,4.6
S0 Ba,10270,5.0,Bronze 2,3.0,0.0,Flex,0.0,2.0
kneethief,milfs,7.0,Silver 1,37.2,17.8275,Controller,1.1419,5.0
Candice,5523,9.0,Silver 3,,,Flex,,
TKDZeke,1853,5.0,Bronze 2,6.0,10.0,Flex,0.6,1.0
chihiro,0002,,NaN,,,Flex,,
AfraidCoconut,NA1,,NaN,14.2,8.8223,Flex,0.8348,1.8
Z00K33P3R,NA1,7.0,Silver 1,44.2,5.0133,Controller,1.0217,4.0
Kighzo,kigh,5.0,Bronze 2,16.6,7.5966,Duelist,1.539,1.4
FancyEyebrows,NA1,8.0,Silver 2,40.2,13.3702,Controller,1.4619,5.2
VE paniK,3308,22.0,Radiant,12.0,5.3846,Flex,1.1595,6.8
Aryan,Ghost,6.0,Bronze 3,19.4,11.8924,Duelist,2.1408,3.4
bigmonk,4016,11.0,Gold 2,44.0,14.8649,Initiator,0.7501,3.6
VPineapple,VaSt,12.0,Gold 3,8.4,21.8841,Duelist,1.141,3.0
armed bystander,rudy,7.0,Silver 1,21.4,4.7539,Flex,0.8674,4.2
Quaff,9959,,NaN,21.5,22.1438,Flex,1.3745,4.5
SirNurgimus,Urge,11.0,Gold 2,0.0,0.0,Flex,1.1607,5.5
misohoneyy,5541,11.0,Gold 2,51.6,8.6501,Duelist,0.895,6.6
boostmepls,0001,6.0,Bronze 3,22.6,26.8754,Duelist,1.1262,3.4
Laggy,1041,7.0,Silver 1,12.0,7.1429,Flex,0.5263,8.0
brano,bran,9.0,Silver 3,39.4,20.1333,Sentinel,1.2783,4.2
naberoni,NA1,7.0,Silver 1,,,Flex,,
GrosseGougoune,7603,3.0,Iron 3,,,Flex,,
usedtampon,5476,7.0,Silver 1,29.0,32.6531,Flex,1.5833,6.0
Plover,PlVR,,NaN,32.0,11.7647,Flex,1.1538,11.0
naruto guy,9999,3.0,Iron 3,27.0,16.1186,Duelist,0.591,2.0
grime2k,4816,,NaN,5.0,0.0,Flex,0.6667,5.0
FaKeTsm,NA1,6.0,Bronze 3,28.6,18.8439,Flex,0.8945,2.6
Adam,Blaze,6.0,Bronze 3,28.6,9.9426,Flex,0.8833,6.4
Sho,UwU,,NaN,32.6,26.011,Initiator,1.3882,5.6
HawaiianBeast,5005,8.0,Silver 2,36.8,6.9411,Controller,2.0092,3.8
Zar,1111,7.0,Silver 1,24.0,8.6957,Flex,1.1538,4.0
Zeevo,BIGDZ,14.0,Platinum 2,15.2,8.9909,Flex,0.9043,3.2
veer,420,12.0,Gold 3,34.5,7.7466,Flex,1.1652,5.5
louvremma,3502,4.0,Bronze 1,7.0,43.5307,Duelist,1.5408,2.0
Onepounddouble,NA1,8.0,Silver 2,20.6,18.5039,Initiator,1.3792,2.6
Gagadou,5960,9.0,Silver 3,9.6,21.3985,Duelist,1.7667,2.6
Selene,8872,7.0,Silver 1,,,Flex,,
NotTeqxs,0606,7.0,Silver 1,0.0,0.0,Flex,1.6111,9.0
Vendetta,blood,9.0,Silver 3,,,Flex,,
i get no play,Ryno,,NaN,31.0,15.0374,Flex,1.3993,2.2
JohnnyRebel,Based,,NaN,,,Flex,,
carson6578,7293,,NaN,0.3333,6.6667,Flex,1.2593,2.6667
Lacerus0402,3912,,NaN,27.4,18.2994,Initiator,0.8719,4.0
Flames,ZJG8,,NaN,11.4,6.4762,Controller,1.0612,4.2
PeashooterBunny,6166,12.0,Gold 3,30.4,27.5593,Sentinel,1.2457,3.8
Link,GODLY,17.0,Diamond 2,0.0,0.0,Flex,0.95,3.0
Ag3nt Z3r0,1664,5.0,Bronze 2,26.6,9.0436,Duelist,1.0798,5.2
logicalloner,5131,4.0,Bronze 1,29.0,12.6521,Controller,0.9238,3.6
ilovecake,1738,,NaN,0.0,0.0,Flex,0.4444,0.0
wendysushi,7659,5.0,Bronze 2,25.8,10.8241,Duelist,0.6238,4.2
IV Mattias,4708,18.0,Diamond 3,44.4,9.2253,Flex,0.8622,5.8
Pimpin Shrimp,PEKKA,9.0,Silver 3,34.6,19.4093,Flex,0.866,7.8
alyssa,0923,,NaN,,,Flex,,
Mapleton,0610,8.0,Silver 2,0.0,0.0,Flex,1.8,9.0
AtlasTTT,4160,,NaN,0.0,0.0,Flex,1.1667,3.0
U A Jerry,6793,8.0,Silver 2,25.0,21.0571,Duelist,1.0114,3.4
emi,rawr,7.0,Silver 1,2.5,3.3333,Flex,0.5714,1.0
cheel33,NA1,,NaN,,,Flex,,
TheTrueMonad,8301,,NaN,19.0,2.2222,Flex,0.25,9.0
happymeal1308,NA1,,NaN,28.4,4.0046,Duelist,0.5559,7.0
Muffin,333,10.0,Gold 1,11.2,11.1473,Flex,2.8458,2.6
RaDiCaL,0001,7.0,Silver 1,,,Flex,,
ramen,1708,6.0,Bronze 3,28.0,4.5455,Flex,0.9375,5.0
TheTexasHammer,6996,7.0,Silver 1,44.0,9.5695,Flex,1.7288,5.2
Chronic,1234,,NaN,24.0,8.3333,Flex,0.7143,3.0
LUCKI,fog,7.0,Silver 1,31.6,21.0509,Duelist,1.5504,1.8
RStivers6,4832,7.0,Silver 1,44.0,16.3636,Flex,1.1538,1.0
Bradhesive,4072,,NaN,21.0,6.2456,Duelist,1.4222,0.6
Zenq,loll,10.0,Gold 1,22.0,23.8095,Flex,2.0,2.0
At0m1x09,7076,,NaN,0.0,0.0,Flex,0.5941,7.2
the phantom,7047,4.0,Bronze 1,,,Flex,,
AsianSpartan98,Asian,16.0,Diamond 1,41.6,14.4473,Flex,1.3292,2.8
Onyx7125,3405,3.0,Iron 3,14.4,15.3484,Sentinel,0.65,4.0
Im Sorry,6757,10.0,Gold 1,32.6,11.9979,Flex,0.9736,3.6
Capn,9645,15.0,Platinum 3,,,Flex,,
Saf,3569,9.0,Silver 3,25.5,8.6686,Flex,1.228,3.5
Rosolent,Gay,14.0,Platinum 2,,,Flex,,
LKL VapeTrics,8540,,NaN,51.0,10.7143,Flex,5.5,2.0
Questorthews,666,3.0,Iron 3,7.2,0.0,Initiator,0.0,1.0
Baaanaaanaaa,9386,6.0,Bronze 3,0.0,0.0,Flex,0.8235,3.0
DarkAsNight20,NA1,10.0,Gold 1,36.6,16.068,Flex,1.4491,5.2
lemongod,5630,3.0,Iron 3,13.0,3.9386,Flex,0.6314,3.2
Tootral,3372,3.0,Iron 3,,,Flex,,
Amanda,Panda,9.0,Silver 3,24.0,4.0762,Flex,0.9607,4.8
UncloudedDay,4444,,NaN,12.6,6.1673,Duelist,1.7778,2.4
GamersDieAlone,2794,4.0,Bronze 1,33.0,10.4842,Duelist,1.4196,3.6
Jakedabomb,8885,19.0,Immortal 1,26.0,25.9942,Duelist,1.7754,4.3333
Jtyios,NA1,5.0,Bronze 2,36.4,14.5265,Duelist,0.5022,2.2
Phineas,9613,8.0,Silver 2,26.5,7.5,Flex,0.348,2.5
TTV GTR247,247,15.0,Platinum 3,,,Flex,,
BallerI8,4437,7.0,Silver 1,38.6,9.9782,Controller,1.4898,4.8
Burrito909,4601,,NaN,,,Flex,,
ウィッシュドウィザード,0047,,NaN,26.6,16.6337,Sentinel,0.7419,2.2
Doge,9055,7.0,Silver 1,15.2,3.6983,Duelist,0.7962,2.2
Hulk400044,1151,,NaN,33.0,8.8052,Duelist,0.9847,4.8
Tatinoo,8553,,NaN,28.0,8.7881,Sentinel,0.9375,3.4
femboy,6365,7.0,Silver 1,,,Flex,,
Benji,4444,8.0,Silver 2,35.0,18.0556,Flex,1.5,5.0
ImNearlyPure,Pure,,NaN,,,Flex,,
NYC,9922,,NaN,0.0,0.0,Flex,1.3197,2.4
TwoStep,5266,8.0,Silver 2,,,Flex,,
FlubsChild,42069,9.0,Silver 3,50.0,16.597,Flex,4.7694,1.4
Skeuu,3848,6.0,Bronze 3,40.0,11.1111,Flex,0.8235,4.0
HoesMad1503,1245,8.0,Silver 2,38.6,8.4455,Flex,0.7569,4.0
NXT Jasleen,Demon,15.0,Platinum 3,,,Flex,,
Vega63M,9640,,NaN,0.0,0.0,Flex,0.4211,6.0
Zombijcraft,0000,7.0,Silver 1,9.0,6.2534,Flex,1.6401,6.4
SycoWhatever,NA1,7.0,Silver 1,20.8,9.1379,Initiator,0.5652,6.2
BstM0DE,9691,,NaN,36.0,15.2542,Flex,1.2308,2.0
Gourd Grod,NA1,9.0,Silver 3,,,Flex,,
blues12,4531,15.0,Platinum 3,,,Flex,,
Stormblessed,8164,,NaN,29.6667,19.8274,Duelist,1.6643,2.3333
PrivilegeLog,9280,10.0,Gold 1,,,Flex,,
LilCottonSwab,1731,8.0,Silver 2,39.6,22.6521,Sentinel,1.0934,3.4
OVO,sound,4.0,Bronze 1,25.2,15.4924,Flex,0.294,3.2
Stopfarmingme,7150,16.0,Diamond 1,20.4,16.0687,Flex,1.0493,3.8
ripXD,9534,5.0,Bronze 2,8.2,21.7793,Duelist,2.0928,1.6
enginerdx,9618,5.0,Bronze 2,,,Flex,,
merZ,69420,4.0,Bronze 1,28.2,7.4792,Initiator,1.0494,3.8
Trashcan,2885,10.0,Gold 1,19.0,11.1111,Flex,0.7857,10.0
aVV,4631,9.0,Silver 3,44.0,23.2074,Initiator,1.5441,8.0
MonkeeArc,2676,,NaN,15.3333,9.537,Sentinel,0.7018,2.3333
batfox26,6933,5.0,Bronze 2,45.4,13.4161,Flex,0.6058,4.2
noobula25,5408,15.0,Platinum 3,0.0,0.0,Flex,1.2105,10.0
sinkyy,8495,,NaN,,,Flex,,
tRhen,NA1,9.0,Silver 3,22.6,17.0221,Initiator,0.7461,3.4
jjalva01,5582,10.0,Gold 1,,,Flex,,
Hydrone,Jason,16.0,Diamond 1,24.2,18.9503,Initiator,2.08,2.0
Blaise,8001,13.0,Platinum 1,47.2,20.0933,Flex,1.1643,2.6
WalmartChamber,8162,6.0,Bronze 3,21.2,4.6841,Initiator,1.005,4.2
KilluaZoldyck,6852,8.0,Silver 2,44.4,13.9699,Initiator,0.983,6.6
bbangiya2,NA1,5.0,Bronze 2,18.0,11.4286,Flex,0.4,1.0
TupapiL,1752,12.0,Gold 3,49.0,15.3846,Flex,2.0,3.0
DanDePan,DDP,12.0,Gold 3,30.2,15.0569,Controller,1.2436,5.4
Fifi,7845,6.0,Bronze 3,,,Flex,,
Jus MyFace,carot,6.0,Bronze 3,23.0,14.2857,Flex,0.8667,5.0
ThugPug21,NA1,9.0,Silver 3,,,Flex,,
Pep,8443,11.0,Gold 2,20.0,8.1081,Flex,0.4667,5.0
MissWater,5376,,NaN,,,Flex,,
hab,3625,13.0,Platinum 1,48.8,21.4185,Flex,1.1254,4.0
Asoteric,7692,6.0,Bronze 3,,,Flex,,
Vader321,NA1,,NaN,10.4,5.1481,Duelist,1.3467,2.2
capng225,2098,8.0,Silver 2,29.6,7.109,Flex,0.9622,6.2
plu,sno,6.0,Bronze 3,26.0,19.0309,Duelist,0.7207,4.5
LilPooper,4357,8.0,Silver 2,9.4,1.1111,Duelist,0.9555,8.0
MS BOX YOU,9576,,NaN,20.6,2.5,Duelist,0.4335,6.0
2332,7114,3.0,Iron 3,,,Flex,,
Ghostrida21,6644,6.0,Bronze 3,29.4,25.8617,Controller,1.1267,3.0
Flare,0213,11.0,Gold 2,44.0,20.3723,Initiator,1.2492,2.8
Vanitaz,0037,13.0,Platinum 1,18.0,31.5789,Flex,2.0,2.0
8amhoe,8888,,NaN,32.8,11.1849,Duelist,0.6313,3.4
rrosey369,7844,,NaN,27.0,9.0909,Flex,0.8,3.0
JaybugJay,NA1,8.0,Silver 2,,,Flex,,
TheSlasher,niqqv,3.0,Iron 3,9.2,11.7969,Duelist,1.0398,2.4
devdev,2k19,11.0,Gold 2,25.0,13.853,Duelist,0.9619,4.4
Aestas,1457,,NaN,,,Flex,,
SonMusti,5189,6.0,Bronze 3,22.4,9.7433,Initiator,0.8052,4.6
alchemist,8994,,NaN,,,Flex,,
Mysticwaves,9354,9.0,Silver 3,27.0,7.971,Flex,0.4825,4.0
Hasasin23,NA1,,NaN,14.0,9.2463,Initiator,0.4748,4.2
miinaamoom,milf,5.0,Bronze 2,32.0,6.8493,Flex,0.625,14.0
Epipeen,OMEN,8.0,Silver 2,25.2,22.7576,Sentinel,1.18,1.2
tfbc,00000,10.0,Gold 1,11.4,20.2898,Duelist,1.0715,1.4
CheetoLord,5313,9.0,Silver 3,,,Flex,,
J Blub,030,8.0,Silver 2,20.4,15.3912,Initiator,1.5467,3.4
homie,manic,12.0,Gold 3,13.0,16.6667,Flex,0.6667,1.0
Daa,111,11.0,Gold 2,45.0,12.6214,Flex,1.3529,10.0
ccbooter,V20,7.0,Silver 1,,,Flex,,
indigo,4063,7.0,Silver 1,26.8,13.3148,Duelist,1.3945,5.2
Aries,4484,14.0,Platinum 2,35.0,24.8657,Flex,2.0248,6.4
Lmaster,0719,9.0,Silver 3,17.0,18.2571,Initiator,0.7169,3.0
Nyx,B99,8.0,Silver 2,25.8,8.266,Duelist,0.9056,2.8
Ooze,3447,7.0,Silver 1,40.0,9.2687,Initiator,1.4721,7.2
Jacobrobrine,2931,,NaN,9.6,15.455,Duelist,0.8667,0.6
Nyanlights,420,,NaN,0.0,0.0,Flex,0.5882,3.0
RickyBobby,1111,10.0,Gold 1,,,Flex,,
itsjustbumble,3828,5.0,Bronze 2,11.6,10.6667,Duelist,0.3897,2.2
Steven,1777,16.0,Diamond 1,41.0,23.7984,Duelist,1.1962,4.2
notRacatorPlays,9604,8.0,Silver 2,75.4,18.113,Flex,0.8685,3.8
시리즈,001,,NaN,32.5,9.4112,Flex,3.9,1.5
krook,3337,8.0,Silver 2,0.0,0.0,Flex,1.5926,8.2
moshi,skz,5.0,Bronze 2,1.8,1.25,Sentinel,0.6036,7.6
1ok,0000,9.0,Silver 3,,,Flex,,
The Squonk,dumpi,17.0,Diamond 2,21.2,9.3937,Initiator,1.4434,2.8
Sammie,2085,,NaN,8.8,17.9762,Controller,0.3591,1.2
pimpzaddyp,400,14.0,Platinum 2,62.4,13.7195,Flex,1.1876,7.2
Kassidy우,0666,6.0,Bronze 3,,,Flex,,
sidra,2021,4.0,Bronze 1,10.0,8.84,Duelist,0.6191,5.8
999Lunar999,9999,11.0,Gold 2,24.0,66.6667,Flex,0.6667,0.0
cjbou,666,9.0,Silver 3,15.6,13.5491,Sentinel,1.4879,1.2
FeetSniffrKissr,1976,10.0,Gold 1,43.2,16.2252,Duelist,0.8223,3.6
VioletMoon,9834,,NaN,45.2,9.6515,Controller,1.2479,7.0
i like pickles,Louie,6.0,Bronze 3,,,Flex,,
uunderrated1ty,9759,4.0,Bronze 1,,,Flex,,
Birdie,4765,6.0,Bronze 3,,,Flex,,
DB aileen,5959,7.0,Silver 1,22.0,10.1818,Controller,1.2451,5.0
Sho火,1958,,NaN,4.0,18.3673,Flex,1.0,2.0
yellow curry,8074,8.0,Silver 2,,,Flex,,
proteinbar,6607,7.0,Silver 1,30.0,5.2017,Initiator,0.8105,5.4
Slinkyy,0007,,NaN,,,Flex,,
KoromoKloud,9473,12.0,Gold 3,53.6,20.387,Controller,1.0565,6.0
TurdShark,123,16.0,Diamond 1,,,Flex,,
Alexiify,3480,13.0,Platinum 1,21.0,16.1626,Flex,4.1786,3.5
BloodyUterus,7446,7.0,Silver 1,21.8,14.3724,Initiator,0.8791,5.4
Kellzoh,2424,11.0,Gold 2,5.0,3.5294,Duelist,1.1826,8.0
lolivazk,NA1,7.0,Silver 1,19.2,5.5,Flex,0.5389,3.0
Sofiya07,NA1,4.0,Bronze 1,0.0,0.0,Flex,0.4706,10.0
Xyclone,5972,,NaN,,,Flex,,
Abubuckerrr,7614,7.0,Silver 1,32.4,16.5762,Duelist,0.7164,4.2
mzoosezhs,7926,12.0,Gold 3,26.6,5.4164,Controller,0.9194,6.2
Bloomy,1525,13.0,Platinum 1,,,Flex,,
UwU,Yuma,12.0,Gold 3,,,Flex,,
Painful,fish,9.0,Silver 3,,,Flex,,
iMagic,0000,5.0,Bronze 2,,,Flex,,
oak,meow,,NaN,21.0,16.9396,Flex,0.9538,1.2
Noukod,Gamin,8.0,Silver 2,58.4,15.9655,Duelist,1.1257,4.6
AuroraUwU,1227,8.0,Silver 2,,,Flex,,
Sitting0vation,NA1,6.0,Bronze 3,,,Flex,,
Dreamy,9141,5.0,Bronze 2,,,Flex,,
Goomy,44444,7.0,Silver 1,24.2,12.2101,Initiator,1.0522,4.2
forebid,1234,6.0,Bronze 3,18.2,18.1261,Flex,1.2542,2.2
StardentAegis,n0va,8.0,Silver 2,147.0,21.4684,Controller,0.9997,2.2
Pieceofpoop123,6725,,NaN,3.0,7.1429,Flex,0.2778,3.0
TrashPanda,Duck,5.0,Bronze 2,4.8,9.1011,Controller,0.7967,2.0
Push Past Limits,NA1,5.0,Bronze 2,4.2,5.6752,Duelist,0.5029,4.6
YOUR STEP DAD,DADDY,11.0,Gold 2,,,Flex,,
BabyBirdTea,NA1,,NaN,,,Flex,,
uhJaceyyy,7794,,NaN,6.0,0.0,Flex,0.5,1.0
Coohus,2609,,NaN,,,Flex,,
JayyZoom,NA2,15.0,Platinum 3,8.4,10.303,Flex,1.0287,4.2
Cwickline1,1774,9.0,Silver 3,20.4,19.1116,Duelist,1.1219,2.8
Emound,7888,,NaN,51.8,14.0157,Duelist,1.6774,3.6
Mikeyloros,NA2,20.0,Immortal 2,18.6,6.1364,Flex,1.3056,7.6
bowlofhash,7490,4.0,Bronze 1,0.0,0.0,Flex,0.9167,6.0
profit,monk,8.0,Silver 2,50.0,15.0,Flex,0.5909,4.0
Chloe,9073,5.0,Bronze 2,26.8,11.3182,Sentinel,2.2161,3.0
crixyy,Na2,7.0,Silver 1,24.2,19.735,Duelist,1.3213,4.0
Bumblebribeez,013,,NaN,9.6,8.3798,Duelist,0.56,1.4
Seraphina,9619,,NaN,30.6,10.5107,Initiator,1.2139,6.2
sam,9935,16.0,Diamond 1,0.0,0.0,Flex,1.1,10.0
sammy,9697,,NaN,15.6,10.0511,Sentinel,0.5575,1.6
Im Jabrone,NA1,10.0,Gold 1,,,Flex,,
Bmonicole,9675,5.0,Bronze 2,,,Flex,,
w33d,8788,,NaN,44.0,19.9632,Flex,1.2923,2.5
Mee,0300,15.0,Platinum 3,21.8,14.7364,Duelist,3.51,2.6
Renokkusu,7843,7.0,Silver 1,,,Flex,,
SitInAHamick,3916,10.0,Gold 1,33.0,11.9048,Flex,1.2857,1.0
heyo,2019,5.0,Bronze 2,14.0,12.533,Sentinel,0.5627,6.0
Kris,6760,5.0,Bronze 2,55.5,14.812,Flex,1.5263,3.5
Twinkle Toes ヅ,Nasty,9.0,Silver 3,41.2,32.9822,Duelist,1.4402,4.8
samiezilla,uwu,,NaN,46.6,20.4524,Initiator,0.9082,5.8
CUTcub,35675,,NaN,25.4,28.5701,Duelist,0.9183,1.8
Compy,BEAR,10.0,Gold 1,28.5,18.7834,Duelist,1.4899,3.25
Rangeee,4647,11.0,Gold 2,44.4,17.6242,Controller,0.9205,7.2
Domシ,1017,17.0,Diamond 2,13.2,6.0408,Controller,0.653,6.2
BumN8,450,10.0,Gold 1,34.6,21.8013,Duelist,1.5251,4.2
BerryAlex,NA1,12.0,Gold 3,26.0,14.3995,Sentinel,0.667,5.4
gdrees,110,,NaN,,,Flex,,
Tekken,luv,11.0,Gold 2,42.2,13.8568,Duelist,1.4846,2.6
KellyBopper,7963,9.0,Silver 3,25.6,10.1209,Flex,0.7315,6.0
Jstab,6650,9.0,Silver 3,13.4,9.6247,Flex,0.6047,3.0
naz,9660,,NaN,37.6,18.4721,Duelist,0.9244,2.4
PaulPardi,217,6.0,Bronze 3,28.8,18.6504,Duelist,1.2448,5.2
spicyBaobei,8702,6.0,Bronze 3,37.2,8.4193,Sentinel,0.5609,7.0
Laviniukova,5811,,NaN,48.6,10.1451,Flex,1.0517,4.8
EthanDaBlonde,3783,,NaN,8.4,3.5226,Duelist,1.0275,3.6
buttdork,1394,,NaN,,,Flex,,
Fallen,otf,6.0,Bronze 3,43.0,40.0,Flex,2.8182,8.0
chiyo,balls,5.0,Bronze 2,25.0,5.2632,Flex,0.5,5.0
AncientCookieee,9824,10.0,Gold 1,21.0,17.1849,Duelist,1.2661,2.6
asapseany,4864,10.0,Gold 1,16.0,11.8232,Duelist,1.6989,4.0
Rantego,TWICE,9.0,Silver 3,36.4,15.8738,Flex,0.6453,4.4
LiamAFK,FRAG,6.0,Bronze 3,,,Flex,,
xXBladeWielderXx,4550,3.0,Iron 3,,,Flex,,
Spoon,404,12.0,Gold 3,33.0,7.8652,Flex,0.7391,5.0
JMixta1221,3977,,NaN,32.0,9.3023,Flex,0.3529,2.0
aimbotter,7542,,NaN,18.0,0.0,Flex,2.0,1.0
avon,9150,12.0,Gold 3,48.2,12.0975,Flex,1.3567,6.0
Davidzse4,SWAG,9.0,Silver 3,,,Flex,,
supun,KPUN,15.0,Platinum 3,12.4,13.049,Flex,1.6396,5.0
Racecar3624,7006,11.0,Gold 2,36.0,28.1819,Duelist,1.04,4.0
MxdDreamz,8448,11.0,Gold 2,,,Flex,,
dumptrucc,thicc,14.0,Platinum 2,29.8,16.8782,Flex,1.0796,5.0
grape,stfu,11.0,Gold 2,46.0,12.5,Flex,1.125,4.0
アパス,6126,6.0,Bronze 3,47.5,6.2821,Flex,1.0865,13.5
Reubone,7642,6.0,Bronze 3,31.0,15.8464,Sentinel,0.9894,5.4
RoxasIslas,0013,,NaN,25.2,21.1389,Controller,0.467,4.0
haldiram,9110,3.0,Iron 3,4.0,6.0,Flex,0.874,2.6
TwitchitsReemlol,1706,7.0,Silver 1,40.8,18.0548,Initiator,1.2923,5.8
PecanPapi,7998,7.0,Silver 1,,,Flex,,
THEBigDoc,63288,7.0,Silver 1,,,Flex,,
autumn,jdmrx,,NaN,,,Flex,,
Spizzy,9643,4.0,Bronze 1,,,Flex,,
defmodule Foo do,1183,,NaN,10.2,12.135,Duelist,1.0311,2.2
Im Kid,6253,11.0,Gold 2,,,Flex,,
Goober,0616,10.0,Gold 1,,,Flex,,
真赤 Makka,1869,15.0,Platinum 3,33.6,8.051,Sentinel,1.0498,4.2
Remi,bonk,7.0,Silver 1,0.0,0.0,Flex,1.0568,1.8
AlexJungFan1234,daddy,13.0,Platinum 1,3.8,4.7059,Flex,0.6088,3.0
Tortilla,1940,,NaN,36.0,6.668,Duelist,0.7,3.0
GrammiGamer,3816,3.0,Iron 3,35.0,6.4516,Flex,0.2222,2.0
risotto,1007,3.0,Iron 3,24.2,8.6828,Flex,0.7436,5.2
BigBraidz,TTV,11.0,Gold 2,55.6,10.7243,Flex,1.0364,6.0
LivLafLuv11,6875,3.0,Iron 3,18.2,4.3711,Duelist,0.8753,4.2
ep1kss1,4745,5.0,Bronze 2,45.8,18.4813,Controller,0.6718,6.8
Lambo,3007,7.0,Silver 1,16.0,7.0276,Duelist,0.7848,3.0
alora13,alora,,NaN,2.6,13.9396,Sentinel,0.6814,2.8
Grggi,JARJ,9.0,Silver 3,20.6,4.2473,Controller,1.0224,6.4
Guppie,2944,12.0,Gold 3,59.6667,20.5964,Controller,1.1328,8.3333
bread muncher,2040,10.0,Gold 1,14.8,16.7748,Duelist,0.4581,3.2
ThiccDragonn,9331,,NaN,46.0,11.5878,Flex,1.6731,5.0
Call Me Gello,NA1,,NaN,30.2,8.5514,Controller,0.9646,6.2
GyltyJaca,gylty,,NaN,21.0,21.4286,Flex,1.2308,7.0
njorra,nom,7.0,Silver 1,20.6,13.965,Sentinel,1.7632,2.2
BPTTK,NA1,9.0,Silver 3,25.4,7.3523,Initiator,1.2328,6.4
Ju1uisSeizure,2095,4.0,Bronze 1,19.0,10.6704,Flex,1.17,4.6
Crazy,Papa,8.0,Silver 2,21.2,26.5608,Flex,1.1765,2.0
Figgles,2933,7.0,Silver 1,45.6,16.7264,Duelist,1.2783,5.8
ThatMatsuNo,8180,10.0,Gold 1,28.4,10.7718,Sentinel,1.1385,6.2
koda,angel,12.0,Gold 3,,,Flex,,
luno,1111,11.0,Gold 2,10.0,23.8153,Initiator,2.22,0.4
BabyyPhoenix,9319,5.0,Bronze 2,,,Flex,,
Her Toy,banan,8.0,Silver 2,34.0,13.4604,Sentinel,1.4152,5.2
Chainedlord,NA1,11.0,Gold 2,22.8,19.4292,Flex,0.9667,2.8
AXweilder17,NA1,16.0,Diamond 1,30.0,13.3312,Initiator,0.6271,4.0
snowy,boob,8.0,Silver 2,33.2,11.5551,Duelist,1.9722,1.8
baggybatman,9851,7.0,Silver 1,71.0,8.5366,Flex,1.0667,5.0
NSGSpartan,NA1,12.0,Gold 3,48.0,22.2222,Flex,2.2222,7.0
gaymer,yay,11.0,Gold 2,38.0,20.2332,Controller,1.2111,3.6
Gavin113408,2061,7.0,Silver 1,24.5,13.419,Flex,1.3669,6.0
iverson,shlo,12.0,Gold 3,28.6,11.8597,Flex,0.6186,3.8
koreanmilf,ily,5.0,Bronze 2,,,Flex,,
minty,taste,8.0,Silver 2,,,Flex,,
BigRedGinger,999,11.0,Gold 2,24.2,24.1188,Sentinel,1.6031,5.6
Plawable,NA1,3.0,Iron 3,16.0,14.3463,Flex,1.25,2.0
AgentCooper07,3249,,NaN,,,Flex,,
클립즈,5091,5.0,Bronze 2,,,Flex,,
GurGurr,NA1,9.0,Silver 3,9.6,4.7027,Duelist,1.3748,8.4
PostSenju,NA1,12.0,Gold 3,52.0,11.1111,Flex,1.2353,7.0
ReanuKeevesss,NA1,,NaN,25.6,24.5786,Flex,0.6622,6.2
Xendy,lol,13.0,Platinum 1,22.6,12.7034,Flex,2.1338,7.0
chairsx,4226,8.0,Silver 2,,,Flex,,
YouAreEverything,cloud,7.0,Silver 1,16.0,75.0,Flex,0.7895,3.0
cottagecheese,6969,11.0,Gold 2,,,Flex,,
MonkeZ,piss,15.0,Platinum 3,36.0,12.5,Flex,0.8824,5.0
pinkneet3,8890,9.0,Silver 3,11.6,19.2685,Flex,0.96,2.4
Dinothor0430,2645,,NaN,9.6,11.3449,Controller,1.0418,2.6
Noodlesharpener,4571,,NaN,2.6,9.688,Sentinel,1.0642,2.0
ThotTactics,7562,,NaN,0.0,0.0,Sentinel,0.7986,7.6
HADES055,NA1,9.0,Silver 3,33.0,16.6667,Flex,1.3529,3.0
