Rank,count
Iron 1,1621
Iron 2,2605
Iron 3,6771
Bronze 1,7766
Bronze 2,11298
Bronze 3,10395
Silver 1,13346
Silver 2,10504
Silver 3,9838
Gold 1,10816
Gold 2,9036
Gold 3,7982
Platinum 1,8968
Platinum 2,7189
Platinum 3,6511
Diamond 1,7466
Diamond 2,5783
Diamond 3,4396
Ascendant 1,3788
Ascendant 2,2483
Ascendant 3,1659
Immortal 1,1829
Immortal 2,892
Immortal 3,774
Radiant,250
