Rank,Count
Iron 1,3232
Iron 2,6474
Iron 3,19651
Bronze 1,23162
Bronze 2,36551
Bronze 3,35417
Silver 1,47331
Silver 2,38390
Silver 3,36811
Gold 1,40944
Gold 2,34557
Gold 3,31192
Platinum 1,35412
Platinum 2,28767
Platinum 3,26354
Diamond 1,29974
Diamond 2,23472
Diamond 3,17730
Ascendant 1,15978
Ascendant 2,10318
Ascendant 3,6890
Immortal 1,6851
Immortal 2,3507
Immortal 3,3185
Radiant,1115
