Rank,count
Iron 1,2185
Iron 2,4578
Iron 3,13906
Bronze 1,16461
Bronze 2,26410
Bronze 3,25931
Silver 1,34931
Silver 2,28787
Silver 3,27902
Gold 1,31315
Gold 2,26590
Gold 3,24254
Platinum 1,28052
Platinum 2,22785
Platinum 3,21210
Diamond 1,23933
Diamond 2,19065
Diamond 3,14439
Ascendant 1,13125
Ascendant 2,8487
Ascendant 3,5771
Immortal 1,5636
Immortal 2,2939
Immortal 3,2634
Radiant,943
