User,Tag,Rank,Position,KD,Assists,Headshot %,Ability Usage
asoric,0000,Bronze 3,Flex,0.7867,1.2,4.5714,4.8
PandaNoodlez,Zooom,Diamond 3,Flex,1.0088,8.4,15.5699,48.8
lft desu,kii,Diamond 2,Flex,1.1828,4.8,24.8168,55.2
o444z,COZY,Silver 1,Duelist,1.6752,2.8,15.4041,21.0
Mornu,00001,Diamond 3,Sentinel,0.8703,2.8,29.8369,32.8
BillyBobJr,3141,Diamond 3,Duelist,1.0853,4.0,25.8858,39.2
Scholar,dilfy,Diamond 1,Duelist,0.8664,3.4,25.2292,22.4
Tiluy,666,Diamond 3,Flex,1.0135,5.8,16.0976,45.0
jqson,0810,Diamond 1,Initiator,0.7987,6.4,21.2411,42.2
Aloe,알로에,Diamond 2,Flex,1.1011,6.4,10.2877,28.0
WinterFrost27,3094,Bronze 2,Flex,0.7275,4.6,15.0253,19.8
getwalled,1584,Bronze 3,Duelist,2.9492,3.4,11.3796,22.2
XxPURPxX,5033,Bronze 2,Flex,0.1667,2.0,0.0,13.0
Omega,milf,Diamond 2,Duelist,1.3816,4.8,7.3989,12.6
Rexxy,9648,Silver 3,Flex,1.2064,6.2,4.7969,24.2
pattydaddyy,NA1,Platinum 3,Flex,0.7346,5.0,16.0655,45.6
Jeanquavis,6969,Diamond 3,Duelist,1.4781,3.4,17.1823,40.8
Fimbul,1991,Diamond 3,Flex,1.0909,3.8,16.5947,28.6
ThreeChaainz,9424,Diamond 1,Flex,1.1591,6.2,12.7222,22.8
Akaza,619,Platinum 1,Flex,0.6397,2.5,15.1416,38.0
stinkywhiteman,2749,Platinum 2,Flex,1.05,2.6667,7.0707,7.6667
otis,chl,Diamond 1,Duelist,1.8712,5.2,18.3435,49.2
duchak,2662,Diamond 1,Initiator,0.8994,5.2,16.2535,27.6
R6god21,3798,Platinum 3,Controller,1.1953,5.4,10.8722,30.6
Porter,7DEAD,Immortal 2,Flex,1.1312,5.4,24.2662,38.2
SL Axt,pespi,Diamond 2,Duelist,1.9782,3.5,30.1415,55.5
loser,cry,Diamond 1,Duelist,1.3065,2.4,24.0464,41.8
FatalsBurner,1963,Diamond 3,Duelist,0.8951,6.4,26.5327,35.8
im horny,mhm,Immortal 2,Duelist,0.8105,3.4,27.6009,37.6
Snowwy,2002,Immortal 2,Flex,0.8,17.0,9.0909,66.0
WTDD CarT,1738,Platinum 3,Initiator,1.1051,6.4,21.6804,65.6
アンドレ,001,Diamond 2,Duelist,0.9038,3.4,24.8348,51.0
Don,2002,Immortal 3,Sentinel,1.4024,4.4,22.5847,31.0
mystic supremacy,quin,Platinum 3,Duelist,1.3547,4.4,39.1669,39.0
Iwreckyou,7863,Gold 2,Initiator,1.0708,3.4,5.8372,13.2
The1stBrownMan,8008,Bronze 1,Flex,NaN,NaN,NaN,NaN
Subrobasaur,Boba,Immortal 1,Flex,0.7234,8.8,12.036,54.6
SalaadSalsa,3479,Silver 3,Sentinel,0.7993,6.2,3.3803,15.2
YaYEETurz,swag,Immortal 1,Initiator,1.2409,6.2,19.692,43.6
